
"46th Precinct",,
"December ",,
046sum,,
"","MTD   2014","YTD   2014"
"Backing Unsafely",9,84
"Brake Lights (Defect.or Improper)",17,446
"Bus Lane, Driving in",4,45
"Cell Phone",41,677
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,3
"Disobey Steady Red Signal",58,485
"Disobey Traffic Control Device",140,1910
"Equipment (Other)",2,111
"Fail to Keep Right",0,3
"Fail to Signal",21,243
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",14,258
"Improper Lights",0,10
"Improper Passing",0,21
"Improper Turn",21,411
"Improper/Missing Plates",0,28
"Not Giving R of W to Pedes.",33,406
"Not Giving R of W to Veh.",6,50
"One Way Street",8,100
"Pavement Markings",24,180
"Safety Belt",29,434
"School Bus, Passing Stopped",34,234
Speeding,31,648
Spillback,1,20
"Tinted Windows",229,2682
"Truck Routes",0,10
U-Turn,14,353
Uninspected,0,18
Uninsured,67,1324
"Unlicensed Operator",31,577
Unregistered,8,234
"Unsafe Lane Change",3,32
"Other Movers",76,1237
"046    TOTAL Movers ",921,13276

