
"110th Precinct",,
"December ",,
110sum,,
"","MTD   2014","YTD   2014"
"Backing Unsafely",0,7
"Brake Lights (Defect.or Improper)",0,27
"Bus Lane, Driving in",0,0
"Cell Phone",36,1458
"Commercial Veh on Pkwy",0,5
"Defective Brakes",0,1
"Disobey Steady Red Signal",12,545
"Disobey Traffic Control Device",31,1625
"Equipment (Other)",0,5
"Fail to Keep Right",0,3
"Fail to Signal",3,120
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",4,88
"Improper Lights",0,18
"Improper Passing",0,18
"Improper Turn",0,259
"Improper/Missing Plates",1,28
"Not Giving R of W to Pedes.",27,1132
"Not Giving R of W to Veh.",0,6
"One Way Street",2,107
"Pavement Markings",3,95
"Safety Belt",53,2233
"School Bus, Passing Stopped",0,191
Speeding,85,3793
Spillback,0,4
"Tinted Windows",9,377
"Truck Routes",0,59
U-Turn,1,29
Uninspected,0,28
Uninsured,17,511
"Unlicensed Operator",56,1549
Unregistered,3,80
"Unsafe Lane Change",0,10
"Other Movers",14,465
"110    TOTAL Movers ",357,14878

