
"115th Precinct",,
"December ",,
115sum,,
"","MTD   2014","YTD   2014"
"Backing Unsafely",0,37
"Brake Lights (Defect.or Improper)",0,1
"Bus Lane, Driving in",0,0
"Cell Phone",24,947
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,0
"Disobey Steady Red Signal",54,1024
"Disobey Traffic Control Device",143,1865
"Equipment (Other)",2,187
"Fail to Keep Right",0,2
"Fail to Signal",45,380
"Following Too Closely",1,6
"Headlights (Defect. or Improper)",0,8
"Improper Lights",34,1277
"Improper Passing",5,62
"Improper Turn",32,1096
"Improper/Missing Plates",1,88
"Not Giving R of W to Pedes.",25,585
"Not Giving R of W to Veh.",1,31
"One Way Street",7,81
"Pavement Markings",3,86
"Safety Belt",55,2206
"School Bus, Passing Stopped",0,98
Speeding,40,388
Spillback,3,41
"Tinted Windows",88,1458
"Truck Routes",0,145
U-Turn,0,8
Uninspected,6,309
Uninsured,47,2346
"Unlicensed Operator",133,4388
Unregistered,10,303
"Unsafe Lane Change",0,2
"Other Movers",46,1053
"115    TOTAL Movers ",805,20509

