
"122nd Precinct",,
"December ",,
122sum,,
"","MTD   2014","YTD   2014"
"Backing Unsafely",1,11
"Brake Lights (Defect.or Improper)",11,354
"Bus Lane, Driving in",0,104
"Cell Phone",14,1044
"Commercial Veh on Pkwy",1,39
"Defective Brakes",1,2
"Disobey Steady Red Signal",6,399
"Disobey Traffic Control Device",54,2067
"Equipment (Other)",6,204
"Fail to Keep Right",1,10
"Fail to Signal",28,715
"Following Too Closely",3,46
"Headlights (Defect. or Improper)",7,223
"Improper Lights",0,2
"Improper Passing",0,21
"Improper Turn",2,58
"Improper/Missing Plates",8,185
"Not Giving R of W to Pedes.",2,102
"Not Giving R of W to Veh.",0,86
"One Way Street",3,47
"Pavement Markings",8,1343
"Safety Belt",11,1101
"School Bus, Passing Stopped",3,64
Speeding,25,1929
Spillback,0,7
"Tinted Windows",20,643
"Truck Routes",1,76
U-Turn,5,150
Uninspected,3,82
Uninsured,26,748
"Unlicensed Operator",51,939
Unregistered,11,166
"Unsafe Lane Change",6,92
"Other Movers",24,1430
"122    TOTAL Movers ",342,14489

