
"107th Precinct",,
"December ",,
107sum,,
"","MTD   2014","YTD   2014"
"Backing Unsafely",0,12
"Brake Lights (Defect.or Improper)",17,632
"Bus Lane, Driving in",0,0
"Cell Phone",21,1011
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",17,225
"Disobey Traffic Control Device",110,1780
"Equipment (Other)",0,19
"Fail to Keep Right",0,2
"Fail to Signal",9,104
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",6,227
"Improper Lights",2,59
"Improper Passing",1,39
"Improper Turn",102,2083
"Improper/Missing Plates",0,1
"Not Giving R of W to Pedes.",39,261
"Not Giving R of W to Veh.",2,73
"One Way Street",1,14
"Pavement Markings",1,146
"Safety Belt",54,2051
"School Bus, Passing Stopped",1,33
Speeding,16,702
Spillback,0,4
"Tinted Windows",13,520
"Truck Routes",1,10
U-Turn,6,87
Uninspected,0,20
Uninsured,12,366
"Unlicensed Operator",31,702
Unregistered,0,35
"Unsafe Lane Change",0,2
"Other Movers",16,413
"107    TOTAL Movers ",478,11633

