34th Precinct,,
November ,,
"","",""
Backing Unsafely,0,3
Bike Lane,0,1
Bus Lane,5,16
Cell Phone,17,436
Commercial Veh on Pkwy,0,1
Cruising For Passengers,0,0
Disobey Traffic Control Device,404,2896
Driving Too Slow,0,0
Equipment,12,383
Equipment (Other),0,1
Excessive Noise,0,0
Fail to Keep Right,0,3
Fail to yield Right of Way to Pedestrian,105,596
Failure to Signal,1,22
Following Too Closely,0,5
Improper Passing,0,2
Improper Taxi Pickup,0,1
Improper Turn,41,622
Improper/Missing Plates,0,8
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,9
Not Giving R of W to Veh.,1,11
Obstructed Plate,8,52
One Way Street,0,16
Overheight,0,1
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,48,525
School Bus,1,25
Scooter In NYC,0,0
Seat Belt,21,392
Speeding,92,527
Spillback,0,1
TBTA Rule,0,0
Tints,29,223
TLC (Other),0,0
Truck Route,0,0
Uninspected,2,19
Uninsured,9,78
Unlicensed Operator,29,319
Unregistered,3,43
Unsafe Lane Change,0,4
Other Movers,23,328
034TOTAL Movers ,851,7569
