45th Precinct,,
November ,,
"","",""
Backing Unsafely,1,4
Bike Lane,1,1
Bus Lane,0,0
Cell Phone,10,420
Commercial Veh on Pkwy,3,17
Cruising For Passengers,0,0
Disobey Traffic Control Device,145,1517
Driving Too Slow,0,0
Equipment,48,408
Equipment (Other),1,1
Excessive Noise,0,0
Fail to Keep Right,0,1
Fail to yield Right of Way to Pedestrian,13,252
Failure to Signal,18,110
Following Too Closely,2,18
Improper Passing,3,38
Improper Taxi Pickup,0,0
Improper Turn,10,162
Improper/Missing Plates,2,56
Lamps and Other Equipment on Bicycle,0,2
Motorcycle (Other),0,2
Not Giving R of W to Veh.,1,11
Obstructed Plate,8,82
One Way Street,5,35
Overheight,0,2
Overlength,0,2
Overweight,0,0
Overwidth,0,0
Pavement Markings,3,7
Red Light,43,335
School Bus,7,50
Scooter In NYC,0,0
Seat Belt,26,340
Speeding,130,1632
Spillback,0,13
TBTA Rule,0,0
Tints,80,1073
TLC (Other),0,0
Truck Route,0,3
Uninspected,2,50
Uninsured,28,272
Unlicensed Operator,56,584
Unregistered,12,160
Unsafe Lane Change,9,54
Other Movers,31,482
045TOTAL Movers ,698,8196
