Brooklyn North,,
November ,,
"","",""
Backing Unsafely,15,87
Bike Lane,18,105
Bus Lane,27,120
Cell Phone,220,4583
Commercial Veh on Pkwy,2,45
Cruising For Passengers,0,0
Disobey Traffic Control Device,2017,25083
Driving Too Slow,0,6
Equipment,270,3544
Equipment (Other),1,3
Excessive Noise,0,1
Fail to Keep Right,0,9
Fail to yield Right of Way to Pedestrian,335,4219
Failure to Signal,213,2191
Following Too Closely,6,21
Improper Passing,18,261
Improper Taxi Pickup,1,6
Improper Turn,540,5812
Improper/Missing Plates,5,95
Lamps and Other Equipment on Bicycle,0,2
Motorcycle (Other),9,134
Not Giving R of W to Veh.,10,133
Obstructed Plate,65,582
One Way Street,60,1128
Overheight,0,0
Overlength,2,19
Overweight,0,1
Overwidth,0,0
Pavement Markings,1,37
Red Light,972,11440
School Bus,12,107
Scooter In NYC,0,0
Seat Belt,425,8577
Speeding,508,6272
Spillback,7,62
TBTA Rule,0,0
Tints,385,5142
TLC (Other),0,0
Truck Route,25,474
Uninspected,18,303
Uninsured,125,1366
Unlicensed Operator,449,5861
Unregistered,93,1315
Unsafe Lane Change,9,83
Other Movers,675,10655
PBBNTOTAL Movers ,7538,99884
