"Moving Violations",,
"Brooklyn North",,
"November ",,
pbbnsum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",19,244
"Brake Lights (Defect.or Improper)",180,2651
"Bus Lane, Driving in",2,141
"Cell Phone",793,10077
"Commercial Veh on Pkwy",0,8
"Defective Brakes",0,12
"Disobey Steady Red Signal",752,8170
"Disobey Traffic Control Device",1511,18047
"Equipment (Other)",22,359
"Fail to Keep Right",0,47
"Fail to Signal",231,3197
"Following Too Closely",9,76
"Headlights (Defect. or Improper)",257,2969
"Improper Lights",2,16
"Improper Passing",35,522
"Improper Turn",518,5746
"Improper/Missing Plates",15,249
"Not Giving R of W to Pedes.",383,2673
"Not Giving R of W to Veh.",85,747
"One Way Street",22,827
"Pavement Markings",73,1134
"Safety Belt",659,11176
"School Bus, Passing Stopped",7,177
Speeding,1125,4978
Spillback,19,126
"Tinted Windows",735,9180
"Truck Routes",13,253
U-Turn,15,222
Uninspected,33,380
Uninsured,521,4595
"Unlicensed Operator",512,6544
Unregistered,136,1592
"Unsafe Lane Change",11,119
"Other Movers",819,8429
"PBBNTOTAL Movers ",9514,105683
,,
"* All figures are preliminary and subject to change.",,
