"Moving Violations",,
"76th Precinct",,
"November ",,
076sum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",1,18
"Brake Lights (Defect.or Improper)",2,34
"Bus Lane, Driving in",0,0
"Cell Phone",78,802
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",40,299
"Disobey Traffic Control Device",42,487
"Equipment (Other)",0,1
"Fail to Keep Right",0,0
"Fail to Signal",1,85
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",4,59
"Improper Lights",0,0
"Improper Passing",1,7
"Improper Turn",49,666
"Improper/Missing Plates",1,20
"Not Giving R of W to Pedes.",30,232
"Not Giving R of W to Veh.",0,2
"One Way Street",3,48
"Pavement Markings",54,420
"Safety Belt",25,469
"School Bus, Passing Stopped",0,16
Speeding,63,305
Spillback,1,4
"Tinted Windows",70,592
"Truck Routes",1,3
U-Turn,1,5
Uninspected,0,1
Uninsured,3,83
"Unlicensed Operator",14,171
Unregistered,2,22
"Unsafe Lane Change",0,9
"Other Movers",53,511
"076TOTAL Movers ",539,5371
,,
"* All figures are preliminary and subject to change.",,
