"Moving Violations",,
"73rd Precinct",,
"November ",,
073sum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",5,27
"Brake Lights (Defect.or Improper)",10,265
"Bus Lane, Driving in",0,0
"Cell Phone",66,1232
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,0
"Disobey Steady Red Signal",65,772
"Disobey Traffic Control Device",167,1947
"Equipment (Other)",11,24
"Fail to Keep Right",0,0
"Fail to Signal",46,818
"Following Too Closely",0,4
"Headlights (Defect. or Improper)",29,286
"Improper Lights",2,2
"Improper Passing",2,54
"Improper Turn",86,747
"Improper/Missing Plates",4,91
"Not Giving R of W to Pedes.",35,262
"Not Giving R of W to Veh.",60,451
"One Way Street",0,1
"Pavement Markings",0,6
"Safety Belt",34,1147
"School Bus, Passing Stopped",0,10
Speeding,114,377
Spillback,0,7
"Tinted Windows",96,1615
"Truck Routes",0,8
U-Turn,0,2
Uninspected,3,61
Uninsured,149,900
"Unlicensed Operator",63,869
Unregistered,32,270
"Unsafe Lane Change",5,25
"Other Movers",85,1207
"073TOTAL Movers ",1169,13488
,,
"* All figures are preliminary and subject to change.",,
