"Moving Violations",,
"Transportation Bureau",,
"    June ",,
cotsum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",4,54
"Brake Lights (Defect.or Improper)",89,435
"Bus Lane, Driving in",210,775
"Cell Phone",408,2795
"Commercial Veh on Pkwy",166,876
"Defective Brakes",2,69
"Disobey Steady Red Signal",257,1728
"Disobey Traffic Control Device",1297,9911
"Equipment (Other)",754,4237
"Fail to Keep Right",0,36
"Fail to Signal",191,1292
"Following Too Closely",48,357
"Headlights (Defect. or Improper)",11,124
"Improper Lights",9,79
"Improper Passing",136,425
"Improper Turn",677,2758
"Improper/Missing Plates",49,268
"Lamps and Other Equipment on Bicycle",0,0
"Not Giving R of W to Pedes.",136,908
"Not Giving R of W to Veh.",22,169
"OBSTRUCTED PLATE",103,400
"One Way Street",150,632
"Pavement Markings",295,1949
"Safety Belt",776,3212
"School Bus, Passing Stopped",6,413
Speeding,7259,47719
Spillback,34,146
"Tinted Windows",594,3567
"Truck Routes",68,682
U-Turn,1,16
Uninspected,101,480
Uninsured,113,623
"Unlicensed Operator",529,2801
Unregistered,143,758
"Unsafe Lane Change",77,628
"Other Movers",2282,12662
"TCDTOTAL Movers ",16997,103984
"* Transportation Bureau is a citywide unit whose activity is not tracked by Precinct.",,
"* All figures are preliminary and subject to change.",,
