"Moving Violations",,
Bronx,,
"    June ",,
pbbxsum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",22,133
"Brake Lights (Defect.or Improper)",156,1549
"Bus Lane, Driving in",6,46
"Cell Phone",713,4513
"Commercial Veh on Pkwy",5,24
"Defective Brakes",3,7
"Disobey Steady Red Signal",486,3621
"Disobey Traffic Control Device",1789,12398
"Equipment (Other)",42,276
"Fail to Keep Right",7,31
"Fail to Signal",147,1148
"Following Too Closely",0,30
"Headlights (Defect. or Improper)",121,1392
"Improper Lights",4,55
"Improper Passing",28,170
"Improper Turn",1064,7086
"Improper/Missing Plates",48,319
"Lamps and Other Equipment on Bicycle",7,9
"Not Giving R of W to Pedes.",329,3483
"Not Giving R of W to Veh.",22,253
"OBSTRUCTED PLATE",109,658
"One Way Street",18,90
"Pavement Markings",105,683
"Safety Belt",988,4364
"School Bus, Passing Stopped",41,386
Speeding,920,6542
Spillback,12,87
"Tinted Windows",1053,8513
"Truck Routes",16,75
U-Turn,24,177
Uninspected,31,272
Uninsured,380,2743
"Unlicensed Operator",675,4691
Unregistered,203,1414
"Unsafe Lane Change",63,476
"Other Movers",691,3764
"PBBXTOTAL Movers ",10328,71478
,,
"* All figures are preliminary and subject to change.",,
