52nd Precinct,,
    June ,,
052sum,,
"","",""
Backing Unsafely,0,8
Brake Lights (Defect.or Improper),39,502
"Bus Lane, Driving in",2,29
Cell Phone,59,283
Commercial Veh on Pkwy,0,0
Defective Brakes,1,1
Disobey Steady Red Signal,20,196
Disobey Traffic Control Device,138,791
Equipment (Other),13,56
Fail to Keep Right,0,5
Fail to Signal,13,145
Following Too Closely,0,0
Headlights (Defect. or Improper),16,220
Improper Lights,2,26
Improper Passing,5,31
Improper Turn,135,795
Improper/Missing Plates,0,10
Lamps and Other Equipment on Bicycle,0,0
Not Giving R of W to Pedes.,15,224
Not Giving R of W to Veh.,3,20
OBSTRUCTED PLATE,19,137
One Way Street,0,6
Pavement Markings,8,210
Safety Belt,58,280
"School Bus, Passing Stopped",0,3
Speeding,127,752
Spillback,0,0
Tinted Windows,96,961
Truck Routes,0,2
U-Turn,0,7
Uninspected,2,37
Uninsured,29,259
Unlicensed Operator,61,381
Unregistered,18,136
Unsafe Lane Change,2,20
Other Movers,62,301
052TOTAL Movers ,943,6834
