"Moving Violations",,
Citywide,,
"    June ",,
citysum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",92,670
"Brake Lights (Defect.or Improper)",513,4404
"Bus Lane, Driving in",240,974
"Cell Phone",6968,39578
"Commercial Veh on Pkwy",179,982
"Defective Brakes",9,115
"Disobey Steady Red Signal",5868,35179
"Disobey Traffic Control Device",14156,99304
"Equipment (Other)",1557,7383
"Fail to Keep Right",20,158
"Fail to Signal",1621,11112
"Following Too Closely",80,556
"Headlights (Defect. or Improper)",383,3978
"Improper Lights",103,807
"Improper Passing",492,2065
"Improper Turn",7720,47408
"Improper/Missing Plates",453,2570
"Lamps and Other Equipment on Bicycle",50,208
"Not Giving R of W to Pedes.",4170,28019
"Not Giving R of W to Veh.",202,1542
"OBSTRUCTED PLATE",543,3118
"One Way Street",467,2248
"Pavement Markings",1216,7500
"Safety Belt",8490,40829
"School Bus, Passing Stopped",152,1964
Speeding,11752,80025
Spillback,176,1425
"Tinted Windows",4644,37116
"Truck Routes",225,1657
U-Turn,178,1601
Uninspected,381,2143
Uninsured,1769,11717
"Unlicensed Operator",4607,28642
Unregistered,993,5853
"Unsafe Lane Change",390,2905
"Other Movers",8606,46036
"CitywideTOTAL Movers ",89465,561791
,,
"* All figures are preliminary and subject to change.",,
