13th Precinct,,
    June ,,
013sum,,
"","",""
Backing Unsafely,0,2
Brake Lights (Defect.or Improper),3,12
"Bus Lane, Driving in",6,31
Cell Phone,15,96
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,87,404
Disobey Traffic Control Device,228,1302
Equipment (Other),0,2
Fail to Keep Right,0,3
Fail to Signal,6,42
Following Too Closely,0,2
Headlights (Defect. or Improper),0,5
Improper Lights,0,1
Improper Passing,0,11
Improper Turn,211,1083
Improper/Missing Plates,0,1
Lamps and Other Equipment on Bicycle,0,0
Not Giving R of W to Pedes.,84,292
Not Giving R of W to Veh.,4,17
OBSTRUCTED PLATE,0,13
One Way Street,0,8
Pavement Markings,0,76
Safety Belt,7,38
"School Bus, Passing Stopped",0,5
Speeding,14,43
Spillback,38,222
Tinted Windows,5,88
Truck Routes,0,0
U-Turn,2,28
Uninspected,0,1
Uninsured,17,63
Unlicensed Operator,9,64
Unregistered,6,23
Unsafe Lane Change,2,24
Other Movers,61,261
013TOTAL Movers ,805,4263
