88th Precinct,,
Backing Unsafely,0,1
Brake Lights (Defect.or Improper),3,15
"Bus Lane, Driving in",0,0
Cell Phone,103,402
Commercial Veh on Pkwy,0,0
Defective Brakes,2,2
Disobey Steady Red Signal,50,317
Disobey Traffic Control Device,274,1205
Equipment (Other),0,10
Fail to Keep Right,0,1
Fail to Signal,10,40
Following Too Closely,0,0
Headlights (Defect. or Improper),4,40
Improper Lights,0,0
Improper Passing,1,3
Improper Turn,34,138
Improper/Missing Plates,8,33
Lamps and Other Equipment on Bicycle,0,0
Not Giving R of W to Pedes.,30,128
Not Giving R of W to Veh.,0,1
OBSTRUCTED PLATE,0,6
One Way Street,1,7
Pavement Markings,8,36
Safety Belt,84,424
"School Bus, Passing Stopped",4,7
Speeding,23,139
Spillback,0,0
Tinted Windows,24,164
Truck Routes,0,0
U-Turn,1,2
Uninspected,1,16
Uninsured,28,109
Unlicensed Operator,22,117
Unregistered,9,37
Unsafe Lane Change,0,1
Other Movers,104,349
TOTAL Movers,828,3750
