"Moving Violations",,
"52nd Precinct",,
"   April ",,
052sum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",2,8
"Brake Lights (Defect.or Improper)",84,403
"Bus Lane, Driving in",14,25
"Cell Phone",29,172
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",25,151
"Disobey Traffic Control Device",126,497
"Equipment (Other)",16,31
"Fail to Keep Right",1,5
"Fail to Signal",25,104
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",44,178
"Improper Lights",1,22
"Improper Passing",7,19
"Improper Turn",126,487
"Improper/Missing Plates",0,10
"Lamps and Other Equipment on Bicycle",0,0
"Not Giving R of W to Pedes.",23,164
"Not Giving R of W to Veh.",2,12
"OBSTRUCTED PLATE",27,84
"One Way Street",0,6
"Pavement Markings",45,179
"Safety Belt",20,137
"School Bus, Passing Stopped",1,3
Speeding,109,534
Spillback,0,0
"Tinted Windows",207,642
"Truck Routes",1,1
U-Turn,0,7
Uninspected,2,34
Uninsured,44,183
"Unlicensed Operator",54,248
Unregistered,22,85
"Unsafe Lane Change",2,10
"Other Movers",38,197
"052TOTAL Movers ",1097,4638
,,
"* All figures are preliminary and subject to change.",,
