"Moving Violations",,
"Queens South",,
September,,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",4,49
"Bike Lane",0,3
"Bus Lane",10,76
"Cell Phone",270,3292
"Commercial Veh on Pkwy",0,25
"Cruising For Passengers",0,4
"Disobey Traffic Control Device",1166,13039
"Driving Too Slow",1,3
Equipment,139,2143
"Equipment (Other)",0,7
"Excessive Noise",0,0
"Fail to Keep Right",0,7
"Fail to yield Right of Way to Pedestrian",177,2419
"Failure to Signal",148,1952
"Following Too Closely",0,14
"Improper Passing",19,203
"Improper Taxi Pickup",0,52
"Improper Turn",446,5245
"Improper/Missing Plates",6,87
"Lamps and Other Equipment on Bicycle",0,2
"Motorcycle (Other)",5,47
"Not Giving R of W to Veh.",6,68
"Obstructed Plate",37,425
"One Way Street",11,205
Overheight,0,0
Overlength,0,1
Overweight,0,0
Overwidth,0,0
"Pavement Markings",0,22
"Red Light",283,3781
"School Bus",5,66
"Scooter In NYC",0,0
"Seat Belt",279,4131
Speeding,697,5764
Spillback,2,26
"TBTA Rule",0,0
Tints,168,2394
"TLC (Other)",0,0
"Truck Route",2,199
Uninspected,18,362
Uninsured,136,1632
"Unlicensed Operator",384,4647
Unregistered,61,837
"Unsafe Lane Change",7,105
"Other Movers",509,5670
"PBQSTOTAL Movers ",4996,59004
"* All figures are preliminary and subject to change.",,
