"Moving Violations",,
"63rd Precinct",,
" January ",,
063sum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",0,0
"Bus Lane, Driving in",2,2
"Cell Phone",81,81
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",118,118
"Disobey Traffic Control Device",221,221
"Equipment (Other)",13,13
"Fail to Keep Right",0,0
"Fail to Signal",7,7
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,0
"Improper Lights",2,2
"Improper Passing",2,2
"Improper Turn",23,23
"Improper/Missing Plates",5,5
"Not Giving R of W to Pedes.",40,40
"Not Giving R of W to Veh.",0,0
"OBSTRUCTED PLATE",5,5
"One Way Street",0,0
"Pavement Markings",11,11
"Safety Belt",8,8
"School Bus, Passing Stopped",1,1
Speeding,26,26
Spillback,0,0
"Tinted Windows",65,65
"Truck Routes",0,0
U-Turn,0,0
Uninspected,0,0
Uninsured,7,7
"Unlicensed Operator",31,31
Unregistered,5,5
"Unsafe Lane Change",1,1
"Other Movers",82,82
"063TOTAL Movers ",756,756
,,
"* All figures are preliminary and subject to change.",,
