"Moving Violations",,
"Transportation Bureau",,
" January ",,
cotsum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",4,4
"Brake Lights (Defect.or Improper)",28,28
"Bus Lane, Driving in",28,28
"Cell Phone",451,451
"Commercial Veh on Pkwy",101,101
"Defective Brakes",29,29
"Disobey Steady Red Signal",255,255
"Disobey Traffic Control Device",1961,1961
"Equipment (Other)",577,577
"Fail to Keep Right",0,0
"Fail to Signal",217,217
"Following Too Closely",64,64
"Headlights (Defect. or Improper)",23,23
"Improper Lights",1,1
"Improper Passing",33,33
"Improper Turn",373,373
"Improper/Missing Plates",48,48
"Not Giving R of W to Pedes.",211,211
"Not Giving R of W to Veh.",46,46
"OBSTRUCTED PLATE",30,30
"One Way Street",50,50
"Pavement Markings",310,310
"Safety Belt",258,258
"School Bus, Passing Stopped",0,0
Speeding,8589,8589
Spillback,15,15
"Tinted Windows",552,552
"Truck Routes",194,194
U-Turn,1,1
Uninspected,95,95
Uninsured,98,98
"Unlicensed Operator",425,425
Unregistered,130,130
"Unsafe Lane Change",117,117
"Other Movers",1604,1604
"TCDTOTAL Movers ",16918,16918
"* Transportation Bureau is a citywide unit whose activity is not tracked by Precinct.",,
"* All figures are preliminary and subject to change.",,
