"Moving Violations",,
"Brooklyn South",,
" January ",,
pbbssum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",17,17
"Brake Lights (Defect.or Improper)",52,52
"Bus Lane, Driving in",8,8
"Cell Phone",949,949
"Commercial Veh on Pkwy",0,0
"Defective Brakes",1,1
"Disobey Steady Red Signal",874,874
"Disobey Traffic Control Device",2283,2283
"Equipment (Other)",48,48
"Fail to Keep Right",1,1
"Fail to Signal",306,306
"Following Too Closely",3,3
"Headlights (Defect. or Improper)",67,67
"Improper Lights",4,4
"Improper Passing",47,47
"Improper Turn",609,609
"Improper/Missing Plates",92,92
"Not Giving R of W to Pedes.",865,865
"Not Giving R of W to Veh.",56,56
"OBSTRUCTED PLATE",54,54
"One Way Street",21,21
"Pavement Markings",173,173
"Safety Belt",915,915
"School Bus, Passing Stopped",40,40
Speeding,715,715
Spillback,10,10
"Tinted Windows",1668,1668
"Truck Routes",31,31
U-Turn,65,65
Uninspected,58,58
Uninsured,326,326
"Unlicensed Operator",757,757
Unregistered,131,131
"Unsafe Lane Change",50,50
"Other Movers",728,728
"PBBSTOTAL Movers ",12024,12024
,,
"* All figures are preliminary and subject to change.",,
