"Moving Violations",,
"Transportation Bureau",,
"February ",,
cotsum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",16,24
"Brake Lights (Defect.or Improper)",111,161
"Bus Lane, Driving in",305,627
"Cell Phone",713,1224
"Commercial Veh on Pkwy",173,267
"Defective Brakes",0,0
"Disobey Steady Red Signal",635,1195
"Disobey Traffic Control Device",3222,6018
"Equipment (Other)",834,1391
"Fail to Keep Right",0,0
"Fail to Signal",247,519
"Following Too Closely",64,114
"Headlights (Defect. or Improper)",15,57
"Improper Lights",3,18
"Improper Passing",71,178
"Improper Turn",633,1154
"Improper/Missing Plates",96,186
"Not Giving R of W to Pedes.",302,604
"Not Giving R of W to Veh.",14,34
"One Way Street",7,21
"Pavement Markings",252,535
"Safety Belt",439,789
"School Bus, Passing Stopped",12,15
Speeding,7584,16234
Spillback,28,58
"Tinted Windows",685,2223
"Truck Routes",118,190
U-Turn,4,12
Uninspected,71,157
Uninsured,170,318
"Unlicensed Operator",466,995
Unregistered,132,269
"Unsafe Lane Change",117,220
"Other Movers",2757,4963
"TCDTOTAL Movers ",20296,40770
"* Transportation Bureau is a citywide unit whose activity is not tracked by Precinct.",,
"* All figures are preliminary and subject to change.",,
