"Moving Violations",,
"90th Precinct",,
"February ",,
090sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",1,2
"Brake Lights (Defect.or Improper)",10,16
"Bus Lane, Driving in",0,0
"Cell Phone",80,131
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",74,163
"Disobey Traffic Control Device",120,256
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",9,10
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",14,21
"Improper Lights",0,0
"Improper Passing",0,2
"Improper Turn",118,195
"Improper/Missing Plates",1,13
"Not Giving R of W to Pedes.",32,56
"Not Giving R of W to Veh.",3,8
"One Way Street",54,118
"Pavement Markings",0,0
"Safety Belt",139,249
"School Bus, Passing Stopped",1,4
Speeding,33,46
Spillback,0,1
"Tinted Windows",68,171
"Truck Routes",4,5
U-Turn,0,1
Uninspected,2,9
Uninsured,47,91
"Unlicensed Operator",37,78
Unregistered,5,13
"Unsafe Lane Change",0,1
"Other Movers",108,177
"090TOTAL Movers ",961,1838
,,
"* All figures are preliminary and subject to change.",,
