"Moving Violations",,
"Staten Island",,
"February ",,
pbsisum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",7,11
"Brake Lights (Defect.or Improper)",77,160
"Bus Lane, Driving in",3,6
"Cell Phone",327,578
"Commercial Veh on Pkwy",8,11
"Defective Brakes",2,2
"Disobey Steady Red Signal",185,415
"Disobey Traffic Control Device",832,1470
"Equipment (Other)",26,52
"Fail to Keep Right",0,1
"Fail to Signal",444,825
"Following Too Closely",10,24
"Headlights (Defect. or Improper)",77,164
"Improper Lights",1,6
"Improper Passing",16,32
"Improper Turn",44,71
"Improper/Missing Plates",65,108
"Not Giving R of W to Pedes.",102,181
"Not Giving R of W to Veh.",41,85
"One Way Street",10,21
"Pavement Markings",82,184
"Safety Belt",342,675
"School Bus, Passing Stopped",10,41
Speeding,485,1006
Spillback,0,0
"Tinted Windows",417,844
"Truck Routes",2,4
U-Turn,38,71
Uninspected,18,46
Uninsured,228,440
"Unlicensed Operator",444,815
Unregistered,64,113
"Unsafe Lane Change",20,36
"Other Movers",312,581
"PBSITOTAL Movers ",4739,9079
,,
"* All figures are preliminary and subject to change.",,
