"Moving Violations",,
Bronx,,
"February ",,
pbbxsum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",21,51
"Brake Lights (Defect.or Improper)",395,785
"Bus Lane, Driving in",5,9
"Cell Phone",563,1087
"Commercial Veh on Pkwy",0,3
"Defective Brakes",0,1
"Disobey Steady Red Signal",483,922
"Disobey Traffic Control Device",1903,3676
"Equipment (Other)",56,89
"Fail to Keep Right",1,3
"Fail to Signal",193,397
"Following Too Closely",8,11
"Headlights (Defect. or Improper)",484,994
"Improper Lights",15,49
"Improper Passing",22,52
"Improper Turn",837,1701
"Improper/Missing Plates",128,226
"Not Giving R of W to Pedes.",408,849
"Not Giving R of W to Veh.",18,59
"One Way Street",13,31
"Pavement Markings",129,202
"Safety Belt",515,1027
"School Bus, Passing Stopped",49,173
Speeding,637,1474
Spillback,14,36
"Tinted Windows",1690,3866
"Truck Routes",39,92
U-Turn,43,87
Uninspected,36,97
Uninsured,457,1045
"Unlicensed Operator",670,1316
Unregistered,206,398
"Unsafe Lane Change",110,238
"Other Movers",355,718
"PBBXTOTAL Movers ",10503,21764
,,
"* All figures are preliminary and subject to change.",,
