"Moving Violations",,
"Brooklyn North",,
"October  ",,
pbbnsum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",19,225
"Brake Lights (Defect.or Improper)",241,2471
"Bus Lane, Driving in",3,139
"Cell Phone",993,9284
"Commercial Veh on Pkwy",0,8
"Defective Brakes",1,12
"Disobey Steady Red Signal",852,7418
"Disobey Traffic Control Device",1745,16536
"Equipment (Other)",14,337
"Fail to Keep Right",5,47
"Fail to Signal",307,2966
"Following Too Closely",9,67
"Headlights (Defect. or Improper)",261,2712
"Improper Lights",2,14
"Improper Passing",37,487
"Improper Turn",604,5228
"Improper/Missing Plates",18,234
"Not Giving R of W to Pedes.",246,2290
"Not Giving R of W to Veh.",76,662
"One Way Street",85,805
"Pavement Markings",124,1061
"Safety Belt",1106,10517
"School Bus, Passing Stopped",16,170
Speeding,630,3853
Spillback,13,107
"Tinted Windows",1079,8445
"Truck Routes",18,240
U-Turn,26,207
Uninspected,32,347
Uninsured,492,4074
"Unlicensed Operator",709,6032
Unregistered,139,1456
"Unsafe Lane Change",11,108
"Other Movers",763,7610
"PBBNTOTAL Movers ",10676,96169
,,
"* All figures are preliminary and subject to change.",,
