"Moving Violations",,
"Brooklyn South",,
"October  ",,
pbbssum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",20,208
"Brake Lights (Defect.or Improper)",60,656
"Bus Lane, Driving in",22,101
"Cell Phone",1307,12136
"Commercial Veh on Pkwy",15,90
"Defective Brakes",0,3
"Disobey Steady Red Signal",654,6408
"Disobey Traffic Control Device",2083,18693
"Equipment (Other)",39,473
"Fail to Keep Right",0,10
"Fail to Signal",257,2841
"Following Too Closely",16,130
"Headlights (Defect. or Improper)",94,926
"Improper Lights",6,115
"Improper Passing",46,580
"Improper Turn",511,6086
"Improper/Missing Plates",52,618
"Not Giving R of W to Pedes.",484,5433
"Not Giving R of W to Veh.",78,612
"One Way Street",37,401
"Pavement Markings",162,1592
"Safety Belt",1225,13004
"School Bus, Passing Stopped",38,469
Speeding,582,5085
Spillback,15,202
"Tinted Windows",1248,11001
"Truck Routes",54,441
U-Turn,50,821
Uninspected,53,434
Uninsured,448,4392
"Unlicensed Operator",739,6469
Unregistered,133,1274
"Unsafe Lane Change",72,633
"Other Movers",720,6832
"PBBSTOTAL Movers ",11320,109169
,,
"* All figures are preliminary and subject to change.",,
