"Moving Violations",,
"121st Precinct",,
" January ",,
121sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",2,2
"Brake Lights (Defect.or Improper)",17,17
"Bus Lane, Driving in",0,0
"Cell Phone",17,17
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",28,28
"Disobey Traffic Control Device",70,70
"Equipment (Other)",3,3
"Fail to Keep Right",0,0
"Fail to Signal",132,132
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",22,22
"Improper Lights",0,0
"Improper Passing",2,2
"Improper Turn",5,5
"Improper/Missing Plates",5,5
"Not Giving R of W to Pedes.",6,6
"Not Giving R of W to Veh.",4,4
"One Way Street",0,0
"Pavement Markings",78,78
"Safety Belt",28,28
"School Bus, Passing Stopped",1,1
Speeding,54,54
Spillback,2,2
"Tinted Windows",83,83
"Truck Routes",0,0
U-Turn,6,6
Uninspected,0,0
Uninsured,36,36
"Unlicensed Operator",78,78
Unregistered,6,6
"Unsafe Lane Change",5,5
"Other Movers",34,34
"121    TOTAL Movers ",724,724
"* All figures are preliminary and subject to change.",,
