123rd Precinct,,
 January ,,
123sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,2,2
Brake Lights (Defect.or Improper),19,19
"Bus Lane, Driving in",0,0
Cell Phone,20,20
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,22,22
Disobey Traffic Control Device,51,51
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,1,1
Following Too Closely,2,2
Headlights (Defect. or Improper),39,39
Improper Lights,2,2
Improper Passing,1,1
Improper Turn,7,7
Improper/Missing Plates,3,3
Not Giving R of W to Pedes.,3,3
Not Giving R of W to Veh.,1,1
One Way Street,0,0
Pavement Markings,10,10
Safety Belt,47,47
"School Bus, Passing Stopped",1,1
Speeding,114,114
Spillback,0,0
Tinted Windows,40,40
Truck Routes,0,0
U-Turn,0,0
Uninspected,10,10
Uninsured,44,44
Unlicensed Operator,13,13
Unregistered,6,6
Unsafe Lane Change,2,2
Other Movers,7,7
123    TOTAL Movers ,467,467
