"Moving Violations",,
"Manhattan South",,
" January ",,
pbmssum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",12,12
"Brake Lights (Defect.or Improper)",153,153
"Bus Lane, Driving in",15,15
"Cell Phone",756,756
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",427,427
"Disobey Traffic Control Device",1471,1471
"Equipment (Other)",19,19
"Fail to Keep Right",0,0
"Fail to Signal",294,294
"Following Too Closely",2,2
"Headlights (Defect. or Improper)",178,178
"Improper Lights",45,45
"Improper Passing",74,74
"Improper Turn",962,962
"Improper/Missing Plates",15,15
"Not Giving R of W to Pedes.",289,289
"Not Giving R of W to Veh.",11,11
"One Way Street",46,46
"Pavement Markings",161,161
"Safety Belt",467,467
"School Bus, Passing Stopped",1,1
Speeding,49,49
Spillback,72,72
"Tinted Windows",134,134
"Truck Routes",32,32
U-Turn,41,41
Uninspected,5,5
Uninsured,161,161
"Unlicensed Operator",143,143
Unregistered,43,43
"Unsafe Lane Change",245,245
"Other Movers",308,308
"PBMS   TOTAL Movers ",6631,6631
"* All figures are preliminary and subject to change.",,
