113th Precinct,,
 January ,,
113sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,2,2
Brake Lights (Defect.or Improper),57,57
"Bus Lane, Driving in",0,0
Cell Phone,75,75
Commercial Veh on Pkwy,1,1
Defective Brakes,1,1
Disobey Steady Red Signal,26,26
Disobey Traffic Control Device,47,47
Equipment (Other),20,20
Fail to Keep Right,0,0
Fail to Signal,1,1
Following Too Closely,0,0
Headlights (Defect. or Improper),93,93
Improper Lights,2,2
Improper Passing,1,1
Improper Turn,89,89
Improper/Missing Plates,3,3
Not Giving R of W to Pedes.,2,2
Not Giving R of W to Veh.,4,4
One Way Street,0,0
Pavement Markings,1,1
Safety Belt,46,46
"School Bus, Passing Stopped",1,1
Speeding,4,4
Spillback,0,0
Tinted Windows,89,89
Truck Routes,6,6
U-Turn,0,0
Uninspected,7,7
Uninsured,76,76
Unlicensed Operator,68,68
Unregistered,18,18
Unsafe Lane Change,2,2
Other Movers,47,47
113    TOTAL Movers ,789,789
