"Moving Violations",,
"61st Precinct",,
" January ",,
061sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",1,1
"Bus Lane, Driving in",0,0
"Cell Phone",76,76
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",6,6
"Disobey Traffic Control Device",24,24
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",2,2
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,0
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",16,16
"Improper/Missing Plates",2,2
"Not Giving R of W to Pedes.",34,34
"Not Giving R of W to Veh.",1,1
"One Way Street",4,4
"Pavement Markings",0,0
"Safety Belt",91,91
"School Bus, Passing Stopped",2,2
Speeding,36,36
Spillback,0,0
"Tinted Windows",39,39
"Truck Routes",0,0
U-Turn,1,1
Uninspected,0,0
Uninsured,11,11
"Unlicensed Operator",24,24
Unregistered,11,11
"Unsafe Lane Change",0,0
"Other Movers",15,15
"061    TOTAL Movers ",396,396
"* All figures are preliminary and subject to change.",,
