"Moving Violations",,
"103rd Precinct",,
" January ",,
103sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",2,2
"Brake Lights (Defect.or Improper)",4,4
"Bus Lane, Driving in",0,0
"Cell Phone",39,39
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",16,16
"Disobey Traffic Control Device",214,214
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",15,15
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,0
"Improper Lights",2,2
"Improper Passing",0,0
"Improper Turn",71,71
"Improper/Missing Plates",1,1
"Not Giving R of W to Pedes.",24,24
"Not Giving R of W to Veh.",1,1
"One Way Street",2,2
"Pavement Markings",25,25
"Safety Belt",66,66
"School Bus, Passing Stopped",4,4
Speeding,3,3
Spillback,6,6
"Tinted Windows",287,287
"Truck Routes",14,14
U-Turn,27,27
Uninspected,1,1
Uninsured,10,10
"Unlicensed Operator",58,58
Unregistered,2,2
"Unsafe Lane Change",5,5
"Other Movers",42,42
"103    TOTAL Movers ",941,941
"* All figures are preliminary and subject to change.",,
