110th Precinct,,
 January ,,
110sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,1,1
Brake Lights (Defect.or Improper),6,6
"Bus Lane, Driving in",0,0
Cell Phone,121,121
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,47,47
Disobey Traffic Control Device,131,131
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,12,12
Following Too Closely,0,0
Headlights (Defect. or Improper),6,6
Improper Lights,2,2
Improper Passing,0,0
Improper Turn,16,16
Improper/Missing Plates,2,2
Not Giving R of W to Pedes.,73,73
Not Giving R of W to Veh.,0,0
One Way Street,8,8
Pavement Markings,3,3
Safety Belt,139,139
"School Bus, Passing Stopped",2,2
Speeding,164,164
Spillback,0,0
Tinted Windows,27,27
Truck Routes,10,10
U-Turn,0,0
Uninspected,1,1
Uninsured,19,19
Unlicensed Operator,84,84
Unregistered,1,1
Unsafe Lane Change,0,0
Other Movers,24,24
110    TOTAL Movers ,899,899
