"Moving Violations",,
"71st Precinct",,
" January ",,
071sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",2,2
"Brake Lights (Defect.or Improper)",3,3
"Bus Lane, Driving in",3,3
"Cell Phone",121,121
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",68,68
"Disobey Traffic Control Device",182,182
"Equipment (Other)",9,9
"Fail to Keep Right",0,0
"Fail to Signal",37,37
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",4,4
"Improper Lights",0,0
"Improper Passing",3,3
"Improper Turn",39,39
"Improper/Missing Plates",1,1
"Not Giving R of W to Pedes.",35,35
"Not Giving R of W to Veh.",8,8
"One Way Street",1,1
"Pavement Markings",7,7
"Safety Belt",104,104
"School Bus, Passing Stopped",2,2
Speeding,18,18
Spillback,2,2
"Tinted Windows",57,57
"Truck Routes",3,3
U-Turn,4,4
Uninspected,2,2
Uninsured,38,38
"Unlicensed Operator",61,61
Unregistered,7,7
"Unsafe Lane Change",0,0
"Other Movers",41,41
"071    TOTAL Movers ",862,862
"* All figures are preliminary and subject to change.",,
