62nd Precinct,,
 January ,,
062sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,0,0
Brake Lights (Defect.or Improper),5,5
"Bus Lane, Driving in",0,0
Cell Phone,34,34
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,51,51
Disobey Traffic Control Device,55,55
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,34,34
Following Too Closely,1,1
Headlights (Defect. or Improper),0,0
Improper Lights,0,0
Improper Passing,5,5
Improper Turn,3,3
Improper/Missing Plates,9,9
Not Giving R of W to Pedes.,56,56
Not Giving R of W to Veh.,1,1
One Way Street,14,14
Pavement Markings,8,8
Safety Belt,37,37
"School Bus, Passing Stopped",1,1
Speeding,18,18
Spillback,0,0
Tinted Windows,75,75
Truck Routes,0,0
U-Turn,4,4
Uninspected,0,0
Uninsured,18,18
Unlicensed Operator,29,29
Unregistered,6,6
Unsafe Lane Change,0,0
Other Movers,30,30
062    TOTAL Movers ,494,494
