"Moving Violations",,
"104th Precinct",,
" January ",,
104sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,1
"Brake Lights (Defect.or Improper)",13,13
"Bus Lane, Driving in",0,0
"Cell Phone",76,76
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",32,32
"Disobey Traffic Control Device",122,122
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",23,23
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",6,6
"Improper Lights",0,0
"Improper Passing",3,3
"Improper Turn",28,28
"Improper/Missing Plates",8,8
"Not Giving R of W to Pedes.",27,27
"Not Giving R of W to Veh.",2,2
"One Way Street",0,0
"Pavement Markings",1,1
"Safety Belt",81,81
"School Bus, Passing Stopped",0,0
Speeding,61,61
Spillback,2,2
"Tinted Windows",69,69
"Truck Routes",24,24
U-Turn,1,1
Uninspected,3,3
Uninsured,22,22
"Unlicensed Operator",42,42
Unregistered,13,13
"Unsafe Lane Change",1,1
"Other Movers",63,63
"104    TOTAL Movers ",724,724
"* All figures are preliminary and subject to change.",,
