"Moving Violations",,
"68th Precinct",,
" January ",,
068sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",10,10
"Bus Lane, Driving in",0,0
"Cell Phone",40,40
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",33,33
"Disobey Traffic Control Device",41,41
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",1,1
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",13,13
"Improper Lights",0,0
"Improper Passing",1,1
"Improper Turn",98,98
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",35,35
"Not Giving R of W to Veh.",2,2
"One Way Street",0,0
"Pavement Markings",10,10
"Safety Belt",61,61
"School Bus, Passing Stopped",0,0
Speeding,13,13
Spillback,2,2
"Tinted Windows",17,17
"Truck Routes",9,9
U-Turn,1,1
Uninspected,0,0
Uninsured,24,24
"Unlicensed Operator",26,26
Unregistered,8,8
"Unsafe Lane Change",2,2
"Other Movers",20,20
"068    TOTAL Movers ",467,467
"* All figures are preliminary and subject to change.",,
