"Moving Violations",,
"66th Precinct",,
" January ",,
066sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",3,3
"Bus Lane, Driving in",0,0
"Cell Phone",95,95
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",25,25
"Disobey Traffic Control Device",117,117
"Equipment (Other)",2,2
"Fail to Keep Right",0,0
"Fail to Signal",50,50
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",2,2
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",6,6
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",23,23
"Not Giving R of W to Veh.",0,0
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",160,160
"School Bus, Passing Stopped",2,2
Speeding,34,34
Spillback,0,0
"Tinted Windows",38,38
"Truck Routes",15,15
U-Turn,0,0
Uninspected,1,1
Uninsured,28,28
"Unlicensed Operator",29,29
Unregistered,10,10
"Unsafe Lane Change",0,0
"Other Movers",38,38
"066    TOTAL Movers ",679,679
"* All figures are preliminary and subject to change.",,
