"Moving Violations",,
"79th Precinct",,
" January ",,
079sum,,
"Offense Description","MTD   2015","YTD   2015"
"Backing Unsafely",1,1
"Brake Lights (Defect.or Improper)",31,31
"Bus Lane, Driving in",0,0
"Cell Phone",72,72
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",84,84
"Disobey Traffic Control Device",237,237
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",0,0
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",55,55
"Improper Lights",0,0
"Improper Passing",6,6
"Improper Turn",61,61
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",21,21
"Not Giving R of W to Veh.",2,2
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",31,31
"School Bus, Passing Stopped",1,1
Speeding,21,21
Spillback,1,1
"Tinted Windows",52,52
"Truck Routes",1,1
U-Turn,1,1
Uninspected,5,5
Uninsured,37,37
"Unlicensed Operator",44,44
Unregistered,16,16
"Unsafe Lane Change",1,1
"Other Movers",15,15
"079    TOTAL Movers ",796,796
"* All figures are preliminary and subject to change.",,
