40th Precinct,,
 January ,,
040sum,,
"",MTD   2015,YTD   2015
Backing Unsafely,1,1
Brake Lights (Defect.or Improper),82,82
"Bus Lane, Driving in",0,0
Cell Phone,40,40
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,63,63
Disobey Traffic Control Device,106,106
Equipment (Other),14,14
Fail to Keep Right,0,0
Fail to Signal,9,9
Following Too Closely,0,0
Headlights (Defect. or Improper),64,64
Improper Lights,0,0
Improper Passing,3,3
Improper Turn,96,96
Improper/Missing Plates,3,3
Not Giving R of W to Pedes.,43,43
Not Giving R of W to Veh.,4,4
One Way Street,0,0
Pavement Markings,22,22
Safety Belt,19,19
"School Bus, Passing Stopped",0,0
Speeding,100,100
Spillback,2,2
Tinted Windows,126,126
Truck Routes,0,0
U-Turn,10,10
Uninspected,3,3
Uninsured,91,91
Unlicensed Operator,82,82
Unregistered,16,16
Unsafe Lane Change,1,1
Other Movers,23,23
040    TOTAL Movers ,1023,1023
