"Moving Violations",,
"Queens South",,
"    June ",,
pbqssum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",14,56
"Brake Lights (Defect.or Improper)",70,460
"Bus Lane, Driving in",0,0
"Cell Phone",498,2907
"Commercial Veh on Pkwy",1,6
"Defective Brakes",1,3
"Disobey Steady Red Signal",380,2350
"Disobey Traffic Control Device",1355,8624
"Equipment (Other)",19,127
"Fail to Keep Right",0,8
"Fail to Signal",89,598
"Following Too Closely",0,13
"Headlights (Defect. or Improper)",33,247
"Improper Lights",40,293
"Improper Passing",47,195
"Improper Turn",773,5303
"Improper/Missing Plates",18,197
"Not Giving R of W to Pedes.",197,1381
"Not Giving R of W to Veh.",13,151
"OBSTRUCTED PLATE",17,32
"One Way Street",10,37
"Pavement Markings",78,554
"Safety Belt",715,3855
"School Bus, Passing Stopped",5,96
Speeding,445,2581
Spillback,4,31
"Tinted Windows",511,4759
"Truck Routes",25,121
U-Turn,24,261
Uninspected,30,223
Uninsured,293,1932
"Unlicensed Operator",562,3676
Unregistered,70,477
"Unsafe Lane Change",9,69
"Other Movers",502,2835
"PBQSTOTAL Movers ",6848,44458
,,
"* All figures are preliminary and subject to change.",,
