"Moving Violations",,
"Transportation Bureau",,
"   March ",,
cotsum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",16,24
"Brake Lights (Defect.or Improper)",78,137
"Bus Lane, Driving in",212,280
"Cell Phone",560,1495
"Commercial Veh on Pkwy",144,365
"Defective Brakes",6,60
"Disobey Steady Red Signal",280,910
"Disobey Traffic Control Device",1976,5648
"Equipment (Other)",667,1985
"Fail to Keep Right",10,10
"Fail to Signal",256,686
"Following Too Closely",72,210
"Headlights (Defect. or Improper)",37,71
"Improper Lights",49,51
"Improper Passing",39,108
"Improper Turn",364,1192
"Improper/Missing Plates",59,150
"Lamps and Other Equipment on Bicycle",0,0
"Not Giving R of W to Pedes.",168,585
"Not Giving R of W to Veh.",31,105
"OBSTRUCTED PLATE",57,118
"One Way Street",50,210
"Pavement Markings",389,996
"Safety Belt",331,976
"School Bus, Passing Stopped",12,18
Speeding,7853,24941
Spillback,19,57
"Tinted Windows",823,1707
"Truck Routes",126,443
U-Turn,4,9
Uninspected,57,208
Uninsured,109,295
"Unlicensed Operator",466,1325
Unregistered,118,344
"Unsafe Lane Change",114,331
"Other Movers",2362,5983
"TCDTOTAL Movers ",17914,52033
"* Transportation Bureau is a citywide unit whose activity is not tracked by Precinct.",,
"* All figures are preliminary and subject to change.",,
