"Moving Violations",,
"83rd Precinct",,
"   March ",,
083sum,,
"Offense Description","MTD 2017","YTD 2017"
"Backing Unsafely",3,3
"Brake Lights (Defect.or Improper)",11,49
"Bus Lane, Driving in",0,0
"Cell Phone",92,174
"Commercial Veh on Pkwy",2,2
"Defective Brakes",0,16
"Disobey Steady Red Signal",64,191
"Disobey Traffic Control Device",458,1166
"Equipment (Other)",4,13
"Fail to Keep Right",3,3
"Fail to Signal",38,148
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",24,47
"Improper Lights",0,1
"Improper Passing",3,6
"Improper Turn",25,45
"Improper/Missing Plates",2,3
"Lamps and Other Equipment on Bicycle",6,6
"Not Giving R of W to Pedes.",22,41
"Not Giving R of W to Veh.",0,1
"OBSTRUCTED PLATE",2,3
"One Way Street",0,3
"Pavement Markings",6,13
"Safety Belt",142,318
"School Bus, Passing Stopped",0,11
Speeding,12,38
Spillback,0,0
"Tinted Windows",198,452
"Truck Routes",4,18
U-Turn,0,0
Uninspected,1,1
Uninsured,52,159
"Unlicensed Operator",100,278
Unregistered,10,37
"Unsafe Lane Change",1,3
"Other Movers",107,221
"083TOTAL Movers ",1392,3471
,,
"* All figures are preliminary and subject to change.",,
