Brooklyn North,,
 January ,,
"","",""
Backing Unsafely,10,10
Bike Lane,6,6
Bus Lane,1,1
Cell Phone,530,530
Commercial Veh on Pkwy,5,5
Cruising For Passengers,0,0
Disobey Traffic Control Device,2828,2828
Driving Too Slow,0,0
Equipment,359,359
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,1,1
Fail to yield Right of Way to Pedestrian,479,479
Failure to Signal,220,220
Following Too Closely,2,2
Improper Passing,24,24
Improper Taxi Pickup,0,0
Improper Turn,541,541
Improper/Missing Plates,8,8
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),2,2
Not Giving R of W to Veh.,26,26
Obstructed Plate,61,61
One Way Street,109,109
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,3,3
Red Light,1060,1060
School Bus,10,10
Scooter In NYC,0,0
Seat Belt,873,873
Speeding,703,703
Spillback,6,6
TBTA Rule,0,0
Tints,766,766
TLC (Other),0,0
Truck Route,73,73
Uninspected,30,30
Uninsured,163,163
Unlicensed Operator,642,642
Unregistered,133,133
Unsafe Lane Change,11,11
Other Movers,1071,1071
PBBNTOTAL Movers ,10756,10756
