"Moving Violations",,
"23rd Precinct",,
September,,
023sum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",3,13
"Brake Lights (Defect.or Improper)",2,22
"Bus Lane, Driving in",0,7
"Cell Phone",194,1305
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",102,801
"Disobey Traffic Control Device",132,980
"Equipment (Other)",27,138
"Fail to Keep Right",0,0
"Fail to Signal",9,46
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",0,14
"Improper Lights",0,0
"Improper Passing",13,46
"Improper Turn",64,810
"Improper/Missing Plates",3,43
"Not Giving R of W to Pedes.",61,541
"Not Giving R of W to Veh.",0,2
"OBSTRUCTED PLATE",1,7
"One Way Street",9,61
"Pavement Markings",7,36
"Safety Belt",87,387
"School Bus, Passing Stopped",10,47
Speeding,21,183
Spillback,0,1
"Tinted Windows",4,137
"Truck Routes",5,31
U-Turn,2,6
Uninspected,2,10
Uninsured,8,41
"Unlicensed Operator",18,166
Unregistered,4,30
"Unsafe Lane Change",2,25
"Other Movers",34,259
"023TOTAL Movers ",824,6197
,,
"* All figures are preliminary and subject to change.",,
