"Moving Violations",,
"Queens South",,
September,,
pbqssum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",6,73
"Brake Lights (Defect.or Improper)",65,679
"Bus Lane, Driving in",0,0
"Cell Phone",405,4236
"Commercial Veh on Pkwy",7,15
"Defective Brakes",3,6
"Disobey Steady Red Signal",358,3352
"Disobey Traffic Control Device",1412,12679
"Equipment (Other)",13,164
"Fail to Keep Right",0,11
"Fail to Signal",105,830
"Following Too Closely",3,21
"Headlights (Defect. or Improper)",35,343
"Improper Lights",49,438
"Improper Passing",24,279
"Improper Turn",796,7608
"Improper/Missing Plates",20,233
"Not Giving R of W to Pedes.",176,1878
"Not Giving R of W to Veh.",22,214
"OBSTRUCTED PLATE",16,92
"One Way Street",3,50
"Pavement Markings",64,756
"Safety Belt",571,6280
"School Bus, Passing Stopped",29,131
Speeding,443,3842
Spillback,0,38
"Tinted Windows",411,6048
"Truck Routes",55,258
U-Turn,28,332
Uninspected,29,328
Uninsured,286,2767
"Unlicensed Operator",577,5492
Unregistered,76,715
"Unsafe Lane Change",9,96
"Other Movers",397,4193
"PBQSTOTAL Movers ",6493,64477
,,
"* All figures are preliminary and subject to change.",,
