"Moving Violations",,
"Manhattan South",,
September,,
pbmssum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",10,112
"Brake Lights (Defect.or Improper)",69,1015
"Bus Lane, Driving in",12,139
"Cell Phone",922,8422
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,2
"Disobey Steady Red Signal",590,6001
"Disobey Traffic Control Device",1629,16962
"Equipment (Other)",14,175
"Fail to Keep Right",2,19
"Fail to Signal",284,3077
"Following Too Closely",2,29
"Headlights (Defect. or Improper)",83,937
"Improper Lights",4,132
"Improper Passing",66,457
"Improper Turn",1521,13267
"Improper/Missing Plates",32,448
"Not Giving R of W to Pedes.",518,4768
"Not Giving R of W to Veh.",8,111
"OBSTRUCTED PLATE",14,61
"One Way Street",61,570
"Pavement Markings",93,1048
"Safety Belt",572,5547
"School Bus, Passing Stopped",3,51
Speeding,78,1092
Spillback,133,1110
"Tinted Windows",163,2404
"Truck Routes",38,304
U-Turn,60,647
Uninspected,8,86
Uninsured,107,1352
"Unlicensed Operator",227,2081
Unregistered,54,603
"Unsafe Lane Change",161,1751
"Other Movers",685,5039
"PBMSTOTAL Movers ",8223,79820
,,
"* All figures are preliminary and subject to change.",,
