"|","Backing Unsafely","Bike Lane","Bus Lane","Brake Lights (Defect.or Improper)","Brake Lights (Defect.or  Improper)","Bus Lane, Driving in","Cell Phone","Commercial Veh on Pkwy","Cruising For Passengers","Defective Brakes","Disobey Steady Red Signal","Disobey Traffic Control Device","Driving Too Slow","Equipment","Disobey Sign","Equipment (Other)","Excessive Noise","Fail to Keep Right","Fail to yield Right of Way to Pedestrian","Failure to Signal","Failure to yield Right of Way to Vehicle","Fail to Signal","Fail to Stop on Signal","Following Too Closely","Headlights (Defect. or Improper)","Improper Lights","Improper Passing","Improper Taxi Pickup","Improper Turn","Improper/Missing Plates","Lamps and Other Equipment on Bicycle","Motorcycle (Other)","Not Giving R of W to Pedes.","Not Giving R of W to Veh.","Obstructed Plate","OBSTRUCTED PLATE","One Way Street","Overheight","Overlength","Overweight","Overwidth","Pavement Markings","Red Light","School Bus","Scooter In NYC","Seat Belt","Safety Belt","School Bus, Passing Stopped","Speeding","Spillback","TBTA Rule","Tints","TLC (Other)","Truck Route","Tinted Windows","Truck Routes","U-Turn","Uninspected","Uninsured","Unlicensed Operator","Unregistered","Unsafe Lane Change","Other Movers","TOTAL Movers"
"2011_08","11","","","","246","2","1818","1","","4","","","","","493","64","","9","","","","41","408","10","201","2","5","","503","9","","","173","8","","","73","","","","","170","","","","","1283","1","37","21","","","","","289","138","19","27","259","220","41","18","240","6844"
"2011_09","9","","","","341","3","1636","1","","12","","","","","655","94","","2","","","","55","462","3","229","3","12","","567","16","","","115","9","","","86","","","","","170","","","","","1342","12","5","11","","","","","298","130","28","42","279","272","56","40","251","7246"
"2011_10","5","","","","337","11","1821","0","","16","","","","","859","55","","1","","","","99","431","8","350","6","4","","536","22","","","169","11","","","116","","","","","235","","","","","932","195","6","31","","","","","224","128","47","19","319","251","58","34","252","7588"
"2011_11","8","","","","381","1","1512","0","","3","","","","","1133","44","","3","","","","141","334","5","390","5","4","","658","27","","","76","9","","","59","","","","","224","","","","","739","14","38","27","","","","","191","133","43","57","330","283","76","33","289","7270"
"2011_12","6","","","","441","1","1716","0","","6","","","","","977","55","","5","","","","138","289","1","406","3","6","","424","20","","","310","13","","","67","","","","","165","","","","","725","17","69","14","","","","","229","134","38","50","310","265","55","38","233","7226"
"2012_01","7","","","","440","2","1710","4","","13","","","","","1201","66","","3","","","","115","461","3","400","8","61","","556","18","","","489","11","","","90","","","","","183","","","","","965","29","160","12","","","","","325","168","48","67","359","320","90","41","351","8776"
"2012_02","14","","","","489","4","1857","4","","22","","","","","1139","41","","5","","","","93","395","3","402","3","13","","574","20","","","188","15","","","77","","","","","144","","","","","1141","255","284","44","","","","","312","162","60","27","326","287","86","57","365","8908"
"2012_03","14","","","","487","6","2094","2","","14","","","","","1443","86","","2","","","","126","407","0","292","6","19","","552","17","","","206","13","","","107","","","","","157","","","","","1338","24","178","70","","","","","513","130","53","36","376","296","60","46","381","9551"
"2012_04","10","","","","489","1","1788","1","","12","","","","","1267","53","","5","","","","169","466","0","287","7","6","","446","26","","","181","12","","","83","","","","","157","","","","","1297","165","134","70","","","","","472","122","54","36","354","295","48","34","399","8946"
"2012_05","11","","","","486","3","2046","6","","4","","","","","1194","112","","2","","","","143","454","4","260","2","9","","695","27","","","185","18","","","105","","","","","135","","","","","1294","14","154","51","","","","","544","107","61","44","377","287","78","52","313","9277"
"2012_06","11","","","","486","3","2046","6","","4","","","","","1194","112","","2","","","","143","454","4","260","2","9","","695","27","","","185","18","","","105","","","","","135","","","","","1294","14","154","51","","","","","544","107","61","44","377","287","78","52","313","9277"
"2012_07","5","","","","455","6","2069","2","","9","","","","","925","110","","3","","","","121","301","2","190","1","15","","477","20","","","102","6","","","73","","","","","130","","","","","851","7","79","32","","","","","229","138","56","45","349","277","66","34","252","7437"
"2012_08","7","","","","474","4","1625","1","","20","","","","","1135","90","","4","","","","148","373","1","247","2","20","","491","23","","","220","15","","","115","","","","","217","","","","","1315","5","78","38","","","","","358","104","60","42","290","257","53","27","323","8182"
"2012_09","12","","","","501","1","1561","0","","18","","","","","996","71","","2","","","","97","314","7","266","2","20","","405","23","","","164","4","","","113","","","","","166","","","","","867","16","131","13","","","","","260","100","70","32","344","247","43","21","248","7135"
"2012_10","13","","","","432","7","1607","2","","13","","","","","1012","139","","4","","","","119","359","2","228","0","10","","439","11","","","509","12","","","121","","","","","195","","","","","949","17","113","9","","","","","313","100","64","32","339","221","61","34","341","7827"
"2012_11","9","","","","338","7","1074","2","","12","","","","","791","70","","4","","","","99","297","2","273","0","9","","420","8","","","109","15","","","31","","","","","169","","","","","533","10","33","12","","","","","229","54","59","32","252","175","50","30","130","5338"
"2012_12","10","","","","390","6","1347","0","","15","","","","","1033","53","","6","","","","118","228","0","347","0","5","","805","15","","","363","12","","","42","","","","","268","","","","","522","4","122","8","","","","","282","78","65","72","282","214","57","21","189","6979"
"2013_01","13","","","","467","0","1865","1","","14","","","","","1224","62","","0","","","","144","364","2","409","1","6","","505","13","","","279","6","","","56","","","","","241","","","","","993","13","126","9","","","","","424","122","121","106","372","287","82","33","260","8620"
"2013_02","9","","","","448","3","1656","1","","6","","","","","971","47","","2","","","","160","298","1","484","1","5","","777","17","","","217","18","","","61","","","","","236","","","","","1230","14","268","89","","","","","270","112","112","63","385","244","59","33","307","8604"
"2013_03","21","","","","498","2","1865","0","","16","","","","","1014","88","","4","","","","171","290","1","400","0","7","","460","13","","","217","10","","","75","","","","","226","","","","","1090","8","262","25","","","","","361","122","78","33","362","264","73","33","291","8380"
"2013_04","9","","","","387","1","1902","1","","4","","","","","1090","52","","5","","","","194","357","4","319","0","16","","501","19","","","159","11","","","68","","","","","347","","","","","1041","12","293","9","","","","","493","142","121","43","419","320","87","52","349","8827"
"2013_05","7","","","","379","5","1769","1","","11","","","","","818","62","","2","","","","181","296","4","301","0","6","","808","11","","","380","4","","","69","","","","","242","","","","","1273","11","290","3","","","","","234","126","96","31","375","289","83","52","334","8553"
"2013_06","10","","","","322","11","1560","5","","5","","","","","829","77","","6","","","","180","286","4","272","0","20","","635","37","","","178","8","","","75","","","","","227","","","","","1050","6","220","8","","","","","261","95","69","51","308","236","108","61","327","7547"
"2013_07","8","","","","447","3","1647","7","","11","","","","","1148","107","","2","","","","182","305","2","276","0","28","","781","13","","","225","10","","","113","","","","","285","","","","","1142","7","147","4","","","","","285","117","91","36","337","288","100","52","361","8567"
"2013_08","11","","","","405","10","1714","2","","1","","","","","951","183","","7","","","","232","388","2","294","4","26","","854","33","","","278","5","","","80","","","","","198","","","","","1130","5","111","6","","","","","312","140","117","63","379","365","92","45","391","8834"
"2013_09","15","","","","362","7","1566","1","","7","","","","","952","105","","5","","","","216","615","2","252","3","9","","755","21","","","163","4","","","131","","","","","179","","","","","971","44","224","2","","","","","408","100","84","28","350","275","103","43","421","8423"
