"|","Backing Unsafely","Bike Lane","Bus Lane","Brake Lights (Defect.or Improper)","Brake Lights (Defect.or  Improper)","Bus Lane, Driving in","Cell Phone","Commercial Veh on Pkwy","Cruising For Passengers","Defective Brakes","Disobey Steady Red Signal","Disobey Traffic Control Device","Driving Too Slow","Equipment","Disobey Sign","Equipment (Other)","Excessive Noise","Fail to Keep Right","Fail to yield Right of Way to Pedestrian","Failure to Signal","Failure to yield Right of Way to Vehicle","Fail to Signal","Fail to Stop on Signal","Following Too Closely","Headlights (Defect. or Improper)","Improper Lights","Improper Passing","Improper Taxi Pickup","Improper Turn","Improper/Missing Plates","Lamps and Other Equipment on Bicycle","Motorcycle (Other)","Not Giving R of W to Pedes.","Not Giving R of W to Veh.","Obstructed Plate","OBSTRUCTED PLATE","One Way Street","Overheight","Overlength","Overweight","Overwidth","Pavement Markings","Red Light","School Bus","Scooter In NYC","Seat Belt","Safety Belt","School Bus, Passing Stopped","Speeding","Spillback","TBTA Rule","Tints","TLC (Other)","Truck Route","Tinted Windows","Truck Routes","U-Turn","Uninspected","Uninsured","Unlicensed Operator","Unregistered","Unsafe Lane Change","Other Movers","TOTAL Movers"
"2016_12","9","","","69","","15","704","0","","0","614","1514","","","","10","","0","","","","298","","3","102","0","17","","1259","91","","","471","9","","148","41","","","","","120","","","","","356","4","85","149","","","","","219","26","79","3","81","188","43","169","514","7410"
"2017_01","9","","","83","","13","790","0","","1","601","1777","","","","21","","2","","","","301","","2","104","0","18","","1495","57","","","581","10","","16","48","","","","","118","","","","","380","1","168","97","","","","","312","17","78","17","95","216","53","132","508","8121"
"2017_02","8","","","67","","7","866","0","","0","720","1734","","","","19","","1","","","","331","","5","100","8","29","","1523","53","","","790","7","","16","58","","","","","93","","","","","456","2","245","111","","","","","338","36","91","11","122","226","52","167","620","8912"
"2017_03","11","","","75","","15","864","0","","0","738","1787","","","","19","","5","","","","304","","2","63","6","10","","1463","58","16","","680","24","","21","47","","","","","93","","","","","442","5","191","430","","","","","329","5","94","8","121","208","56","147","556","8893"
"2017_04","9","","","44","","7","833","0","","0","931","1799","","","","7","","4","","","","360","","4","65","9","69","","1630","104","18","","571","13","","21","128","","","","","148","","","","","419","33","224","106","","","","","283","37","90","10","108","188","48","204","690","9214"
"2017_05","15","","","40","","7","1060","0","","0","900","1722","","","","7","","5","","","","415","","4","58","9","51","","1567","71","1","","725","21","","16","85","","","","","109","","","","","728","6","107","139","","","","","287","28","80","8","109","200","56","139","608","9383"
"2017_06","8","","","28","","13","899","0","","0","907","1504","","","","20","","6","","","","366","","5","34","6","73","","1540","61","12","","588","14","","10","138","","","","","140","","","","","619","2","140","93","","","","","249","2","29","9","115","226","64","93","571","8584"
"2017_07","7","","","27","","10","788","0","","1","844","1549","","","","18","","1","","","","204","","3","25","5","51","","1606","33","21","","479","18","","12","110","","","","","140","","","","","467","0","191","62","","","","","272","7","23","9","87","181","32","73","500","7856"
"2017_08","13","","","24","","14","1034","0","","0","899","1547","","","","19","","5","","","","253","","3","18","9","36","","1435","73","30","","672","16","","24","86","","","","","110","","","","","649","1","218","72","","","","","250","6","14","7","82","194","46","97","576","8532"
"2017_09","6","","","10","","56","662","0","","0","862","1269","","","","12","","2","","","","283","","2","16","8","18","","1230","44","43","","449","13","","15","105","","","","","72","","","","","502","2","152","36","","","","","181","3","16","4","66","153","46","77","814","7229"
"2017_10","8","","","27","","14","806","0","","0","994","1583","","","","16","","2","","","","319","","3","18","14","32","","1616","69","20","","884","19","","25","143","","","","","112","","","","","570","6","215","50","","","","","297","7","16","19","96","223","72","129","852","9276"
"2017_11","8","","","25","","22","633","0","","0","760","1661","","","","10","","2","","","","270","","4","23","11","19","","1600","65","15","","685","9","","10","73","","","","","160","","","","","870","4","268","73","","","","","275","4","28","15","84","193","45","95","803","8822"
"2017_12","13","","","18","","10","450","0","","0","727","1288","","","","13","","0","","","","261","","4","19","8","12","","1365","67","20","","533","11","","4","102","","","","","103","","","","","548","1","200","50","","","","","208","1","18","24","61","188","35","125","716","7203"
"2018_01","13","9","19","","","","488","0","1","","","1831","0","121","","0","0","1","715","258","","","","6","","","11","31","1627","6","1","6","","22","69","","108","0","0","0","0","4","772","2","0","646","","","193","25","0","254","0","5","","","","44","108","231","58","95","922","8702"
"2018_02","7","13","9","","","","399","0","1","","","1588","0","206","","0","0","4","753","270","","","","2","","","12","32","1602","12","1","12","","15","64","","161","0","0","0","0","4","831","3","0","614","","","297","14","0","285","0","21","","","","36","67","190","44","78","996","8643"
"2018_03","8","23","50","","","","391","0","0","","","1765","0","142","","0","0","1","618","190","","","","7","","","24","24","1577","5","1","17","","19","48","","64","0","0","0","0","1","708","1","0","555","","","246","23","0","255","0","15","","","","17","77","202","42","60","982","8158"
"2018_04","11","16","10","","","","374","0","2","","","1533","0","191","","0","0","0","566","170","","","","6","","","23","22","1761","17","0","18","","11","126","","105","0","0","0","0","3","799","37","1","554","","","287","23","0","237","0","1","","","","44","112","226","52","69","892","8299"
"2018_05","10","12","94","","","","416","0","0","","","1720","1","179","","1","0","0","837","230","","","","4","","","24","26","1584","27","1","38","","10","97","","97","0","0","0","0","7","975","8","0","880","","","196","36","0","283","1","9","","","","31","108","260","64","104","1238","9608"
"2018_06","9","19","59","","","","444","0","0","","","1481","0","185","","1","0","2","651","151","","","","2","","","18","20","1532","19","0","50","","13","109","","111","0","0","0","0","7","1040","5","0","648","","","199","17","0","227","0","4","","","","17","94","213","39","87","1033","8506"
"2018_07","5","26","5","","","","302","0","1","","","1422","0","189","","2","0","2","563","161","","","","2","","","25","24","1292","9","3","34","","7","64","","108","0","0","0","0","3","972","1","0","531","","","259","13","0","254","0","2","","","","10","58","172","37","75","930","7563"
"2018_08","4","30","16","","","","324","0","0","","","1345","0","200","","2","0","0","543","116","","","","3","","","22","12","1159","9","2","38","","7","72","","110","0","0","0","0","4","859","1","0","599","","","349","9","0","235","0","5","","","","9","46","191","26","64","1016","7427"
"2018_09","4","30","16","","","","324","0","0","","","1345","0","200","","2","0","0","543","116","","","","3","","","22","12","1159","9","2","38","","7","72","","110","0","0","0","0","4","859","1","0","599","","","349","9","0","235","0","5","","","","9","46","191","26","64","1017","7428"
"2018_10","8","22","47","","","","347","0","0","","","1604","0","181","","2","0","0","915","163","","","","9","","","31","16","1560","16","2","18","","15","79","","63","0","0","0","0","8","1001","4","0","587","","","179","16","0","254","0","3","","","","6","54","211","24","123","1148","8716"
"2018_11","20","25","63","","","","325","0","0","","","1609","0","131","","0","0","0","725","147","","","","4","","","13","7","1321","5","2","11","","8","69","","79","0","0","0","0","0","813","7","0","687","","","204","19","0","292","0","1","","","","4","51","190","12","76","1033","7953"
"2018_12","10","19","38","","","","217","0","0","","","1059","0","90","","0","0","1","649","136","","","","0","","","9","10","910","16","1","8","","4","53","","67","0","0","0","0","0","721","4","0","439","","","200","40","0","200","0","6","","","","2","36","145","25","46","701","5862"
"2019_01","9","43","36","","","","327","0","0","","","1840","0","99","","0","0","0","862","185","2","","","1","","","6","16","1421","18","1","4","","4","88","","97","0","0","0","0","1","891","4","0","657","","","289","9","0","304","0","14","","","","2","41","213","23","50","1076","8633"
"2019_02","8","24","50","","","","267","0","0","","","1362","0","90","","1","0","1","944","191","3","","","3","","","14","6","1201","8","2","10","","12","46","","106","0","0","0","0","1","931","3","0","500","","","230","13","0","270","0","11","","","","3","48","184","20","55","999","7617"
"2019_03","13","10","44","","","","263","1","0","","","1406","0","110","","1","0","1","749","139","0","","","2","","","7","4","1222","13","1","14","","7","67","","90","0","0","0","0","5","692","3","0","557","","","235","13","0","235","0","5","","","","2","64","181","26","42","902","7126"
"2019_04","11","39","67","","","","295","0","0","","","1196","0","137","","0","0","1","558","117","2","","","1","","","22","17","1104","30","1","50","","3","90","","138","0","0","0","0","1","735","0","0","624","","","257","9","0","203","0","5","","","","8","35","175","17","43","1090","7081"
"2019_05","5","20","32","","","","292","0","0","","","1398","1","129","","1","0","4","921","150","2","","","3","","","29","16","1514","13","3","49","","6","69","","110","0","0","0","0","5","867","24","3","924","","","226","14","0","195","0","4","","","","11","49","190","44","58","1231","8612"
"2019_06","5","27","16","","","","267","0","0","","","1080","0","120","","0","0","0","851","108","1","","","3","","","42","10","1270","22","2","43","","6","54","","59","0","0","0","0","3","868","0","14","673","","","192","9","0","141","0","3","","","","9","29","195","35","48","1014","7219"
"2019_07","4","141","14","","","","272","0","0","","","1253","0","99","","0","0","1","626","84","2","","","3","","","24","23","1157","7","6","25","","7","51","","59","0","0","0","0","3","790","4","0","578","","","241","9","0","201","0","7","","","","2","34","165","25","43","1049","7009"
"2019_08","5","48","36","","","","249","0","0","","","874","0","83","","0","0","3","738","59","1","","","2","","","26","9","996","6","0","44","","4","30","","59","0","1","0","0","0","750","2","0","491","","","264","5","0","99","0","2","","","","13","17","157","22","35","942","6072"
"2019_09","2","44","9","","","","150","0","0","","","545","0","49","","0","0","0","3103","53","1","","","3","","","13","5","612","6","1","16","","4","14","","55","0","0","0","0","8","530","2","0","258","","","296","2","0","57","0","0","","","","9","21","114","15","25","446","6468"
