"|","Backing Unsafely","Bike Lane","Bus Lane","Brake Lights (Defect.or Improper)","Brake Lights (Defect.or  Improper)","Bus Lane, Driving in","Cell Phone","Commercial Veh on Pkwy","Cruising For Passengers","Defective Brakes","Disobey Steady Red Signal","Disobey Traffic Control Device","Driving Too Slow","Equipment","Disobey Sign","Equipment (Other)","Excessive Noise","Fail to Keep Right","Fail to yield Right of Way to Pedestrian","Failure to Signal","Failure to yield Right of Way to Vehicle","Fail to Signal","Fail to Stop on Signal","Following Too Closely","Headlights (Defect. or Improper)","Improper Lights","Improper Passing","Improper Taxi Pickup","Improper Turn","Improper/Missing Plates","Lamps and Other Equipment on Bicycle","Motorcycle (Other)","Not Giving R of W to Pedes.","Not Giving R of W to Veh.","Obstructed Plate","OBSTRUCTED PLATE","One Way Street","Overheight","Overlength","Overweight","Overwidth","Pavement Markings","Red Light","School Bus","Scooter In NYC","Seat Belt","Safety Belt","School Bus, Passing Stopped","Speeding","Spillback","TBTA Rule","Tints","TLC (Other)","Truck Route","Tinted Windows","Truck Routes","U-Turn","Uninspected","Uninsured","Unlicensed Operator","Unregistered","Unsafe Lane Change","Other Movers","TOTAL Movers"
"2011_08","1","","","","56","0","1765","0","","0","","","","","920","28","","2","","","","61","268","1","32","105","14","","93","22","","","101","11","","","61","","","","","67","","","","","2017","3","521","23","","","","","571","142","11","27","483","620","40","8","321","8395"
"2011_09","7","","","","51","0","1745","0","","0","","","","","1208","52","","2","","","","73","352","2","8","45","3","","81","14","","","93","21","","","88","","","","","70","","","","","2599","35","508","7","","","","","579","110","26","46","545","796","19","10","400","9595"
"2011_10","7","","","","66","0","2012","0","","1","","","","","1297","26","","4","","","","43","355","2","34","67","8","","125","14","","","140","25","","","95","","","","","116","","","","","2019","18","574","33","","","","","570","220","15","44","468","721","34","18","427","9598"
"2011_11","6","","","","53","0","1848","4","","0","","","","","1325","8","","3","","","","66","341","3","68","48","10","","121","12","","","210","23","","","99","","","","","98","","","","","2045","5","404","25","","","","","611","120","19","58","487","631","46","6","287","9090"
"2011_12","7","","","","35","0","1632","0","","0","","","","","1249","28","","2","","","","67","310","1","40","81","15","","108","13","","","165","22","","","88","","","","","93","","","","","1714","8","415","7","","","","","704","151","25","47","476","651","51","7","336","8548"
"2012_01","11","","","","59","0","2224","13","","0","","","","","1454","20","","4","","","","108","384","4","76","90","17","","233","23","","","221","25","","","74","","","","","110","","","","","2132","8","560","5","","","","","673","184","51","123","667","941","90","12","639","11235"
"2012_02","11","","","","86","0","2083","0","","0","","","","","1327","20","","1","","","","82","427","3","85","56","8","","228","13","","","167","20","","","60","","","","","100","","","","","2331","89","476","14","","","","","720","184","41","58","591","897","64","9","619","10870"
"2012_03","10","","","","99","0","2493","1","","0","","","","","1306","9","","3","","","","68","426","3","62","31","11","","280","19","","","199","22","","","73","","","","","113","","","","","2494","13","502","13","","","","","960","162","18","51","716","1016","61","14","832","12080"
"2012_04","10","","","","67","0","2166","0","","0","","","","","1188","24","","0","","","","65","407","7","67","27","16","","230","22","","","207","10","","","74","","","","","173","","","","","2248","65","504","3","","","","","705","130","7","46","624","948","76","17","651","10784"
"2012_05","7","","","","73","0","2048","0","","0","","","","","1445","31","","2","","","","51","411","4","69","21","26","","193","12","","","191","10","","","84","","","","","169","","","","","3088","11","416","9","","","","","570","154","18","80","637","991","82","17","440","11360"
"2012_06","7","","","","73","0","2048","0","","0","","","","","1445","31","","2","","","","51","411","4","69","21","26","","193","12","","","191","10","","","84","","","","","169","","","","","3088","11","416","9","","","","","570","154","18","80","637","991","82","17","440","11360"
"2012_07","4","","","","47","0","1636","0","","0","","","","","1148","64","","2","","","","68","279","1","16","84","17","","195","26","","","138","9","","","69","","","","","96","","","","","1850","4","539","13","","","","","526","132","7","38","634","836","68","9","428","8983"
"2012_08","8","","","","25","0","1581","1","","1","","","","","967","47","","3","","","","54","256","2","15","92","19","","119","28","","","93","8","","","40","","","","","48","","","","","1843","0","459","1","","","","","625","160","28","50","745","867","79","12","436","8712"
"2012_09","4","","","","25","0","1715","0","","0","","","","","1153","26","","1","","","","48","332","1","10","79","13","","146","13","","","149","9","","","49","","","","","88","","","","","2137","29","445","4","","","","","542","107","18","52","618","895","60","16","402","9186"
"2012_10","6","","","","30","0","1598","0","","2","","","","","1532","13","","2","","","","60","327","4","7","69","16","","169","10","","","100","10","","","34","","","","","99","","","","","1461","78","639","9","","","","","612","128","14","61","666","910","60","13","423","9162"
"2012_11","8","","","","13","0","1205","0","","0","","","","","956","20","","2","","","","61","294","7","10","76","12","","130","19","","","172","7","","","28","","","","","79","","","","","1167","4","245","0","","","","","478","54","6","51","488","649","58","9","285","6593"
"2012_12","7","","","","16","0","1434","0","","0","","","","","1366","16","","4","","","","47","347","1","7","78","10","","220","14","","","119","13","","","36","","","","","91","","","","","1406","6","624","2","","","","","769","102","16","86","668","872","74","9","344","8804"
"2013_01","4","","","","32","0","1752","0","","8","","","","","1731","22","","1","","","","65","398","4","10","75","14","","213","8","","","261","15","","","43","","","","","129","","","","","1780","7","562","7","","","","","801","121","21","121","663","941","80","25","564","10478"
"2013_02","10","","","","39","0","1656","0","","0","","","","","1397","25","","2","","","","97","403","4","9","89","13","","253","19","","","246","17","","","55","","","","","113","","","","","1887","13","479","8","","","","","813","189","6","59","623","954","54","17","552","10101"
"2013_03","5","","","","59","0","1502","0","","3","","","","","1573","19","","0","","","","94","409","5","19","73","13","","213","13","","","251","10","","","49","","","","","238","","","","","1981","20","429","13","","","","","865","116","16","51","673","949","52","15","469","10197"
"2013_04","7","","","","36","0","2082","0","","0","","","","","1820","20","","0","","","","103","412","4","24","105","28","","220","36","","","229","26","","","44","","","","","198","","","","","2312","91","743","11","","","","","890","175","16","58","635","1113","84","7","668","12197"
"2013_05","7","","","","37","0","1876","3","","0","","","","","1772","22","","4","","","","71","342","2","8","79","22","","212","20","","","192","14","","","32","","","","","165","","","","","2556","9","401","3","","","","","532","109","12","65","578","1086","125","14","626","10996"
"2013_06","7","","","","30","0","1484","0","","0","","","","","1304","42","","3","","","","66","414","2","8","72","13","","294","36","","","167","15","","","41","","","","","103","","","","","1987","8","347","11","","","","","484","202","25","75","514","974","95","8","663","9494"
"2013_07","3","","","","30","0","1391","0","","0","","","","","1566","46","","0","","","","75","316","3","12","96","8","","208","40","","","137","8","","","48","","","","","106","","","","","1792","3","503","11","","","","","609","110","19","50","616","1004","103","3","536","9452"
"2013_08","8","","","","44","0","1239","0","","0","","","","","1269","49","","1","","","","62","272","1","9","80","13","","184","37","","","146","17","","","33","","","","","84","","","","","1533","1","295","18","","","","","571","127","11","55","567","1001","101","9","525","8362"
"2013_09","3","","","","39","0","1118","0","","0","","","","","1351","47","","0","","","","61","343","4","11","85","15","","181","26","","","150","17","","","22","","","","","88","","","","","1468","18","309","24","","","","","683","51","15","71","577","1059","74","6","507","8423"
"2013_10","7","","","","42","1","1407","0","","0","","","","","1334","41","","0","","","","69","313","3","9","78","13","","208","46","","","203","26","","","47","","","","","114","","","","","1699","18","707","7","","","","","660","166","21","43","529","973","91","10","647","9532"
"2013_11","13","","","","59","0","987","0","","2","","","","","1779","24","","2","","","","87","338","1","26","79","19","","198","36","","","317","20","","","27","","","","","116","","","","","1108","29","328","19","","","","","665","68","19","35","562","821","91","12","533","8420"
"2013_12","15","","","","67","0","1087","0","","0","","","","","1563","23","","3","","","","94","429","2","52","136","13","","300","51","","","212","38","","","28","","","","","158","","","","","1191","10","459","27","","","","","593","106","19","46","559","933","115","6","360","8695"
"2014_01","14","","","","69","0","1246","1","","1","","","","","1785","36","","2","","","","119","381","4","52","153","21","","403","34","","","332","14","","","42","","","","","182","","","","","1413","9","515","12","","","","","798","130","17","135","694","1085","115","13","538","10365"
"2014_02","14","","","","72","0","1340","0","","0","","","","","1831","24","","1","","","","101","658","4","50","174","20","","419","38","","","370","23","","","41","","","","","96","","","","","1580","6","331","25","","","","","708","110","30","78","629","1044","97","10","495","10419"
"2014_03","7","","","","73","0","1334","3","","1","","","","","1659","65","","2","","","","100","431","2","33","185","18","","361","37","","","376","10","","","24","","","","","179","","","","","1419","8","773","14","","","","","842","130","18","64","681","1113","115","6","627","10710"
"2014_04","9","","","26","","0","1148","1","","0","","","","","2080","52","","2","","","","74","407","2","16","176","34","","441","35","","","428","27","","","22","","","","","154","","","","","1236","112","496","16","","","","","620","78","14","58","645","983","127","12","635","10166"
"2014_05","8","","","32","","0","1629","1","","0","","","","","2133","34","","1","","","","116","595","3","20","139","28","","716","25","","","1234","28","","","21","","","","","210","","","","","1713","17","893","10","","","","","494","88","11","54","452","963","113","10","875","12666"
"2014_06","8","","","28","","0","1133","1","","0","","","","","1881","94","","5","","","","98","408","2","15","109","17","","520","44","","","324","18","","","27","","","","","148","","","","","1331","15","813","30","","","","","600","43","13","62","429","866","95","19","624","9820"
"2014_07","11","","","31","","0","1103","0","","0","","","","","1639","35","","2","","","","65","454","1","24","109","21","","456","39","","","369","54","","","39","","","","","102","","","","","1570","1","644","33","","","","","480","58","14","46","405","844","84","12","783","9528"
"2014_08","5","","","33","","0","1010","5","","0","","","","","1743","61","","5","","","","50","625","3","25","84","10","","503","24","","","312","32","","","79","","","","","107","","","","","1569","0","678","14","","","","","389","16","16","38","325","738","65","10","710","9284"
"2014_09","9","","","19","","0","805","1","","0","","","","","1626","34","","4","","","","64","394","4","16","79","21","","358","14","","","370","19","","","32","","","","","89","","","","","1080","250","643","16","","","","","382","22","8","53","318","754","61","12","492","8049"
"2014_10","16","","","29","","0","1060","1","","0","","","","","1732","67","","3","","","","149","587","3","24","81","26","","422","29","","","329","30","","","39","","","","","129","","","","","901","344","711","26","","","","","735","40","17","44","345","868","79","11","624","9501"
"2014_11","7","","","19","","0","815","0","","0","","","","","1875","26","","3","","","","198","367","2","30","89","19","","467","10","","","309","10","","","16","","","","","92","","","","","765","84","1376","20","","","","","923","31","8","34","340","770","67","17","493","9282"
"2014_12","4","","","6","","0","345","0","","0","255","950","","","","16","","3","","","","105","","2","11","40","10","","257","10","","","229","24","","","10","","","","","62","","","","","350","16","461","10","","","","","369","33","5","19","159","369","37","8","233","4408"
"2015_01","8","","","27","","0","541","0","","0","330","1360","","","","10","","2","","","","121","","0","28","120","13","","350","25","","","292","29","","","11","","","","","32","","","","","654","16","451","8","","","","","631","38","10","23","270","573","43","12","329","6357"
"2015_02","8","","","20","","0","931","0","","0","386","1507","","","","21","","5","","","","181","","5","30","110","12","","416","13","","","586","35","","","20","","","","","31","","","","","1311","15","396","16","","","","","751","37","13","30","248","723","52","17","438","8364"
"2015_03","7","","","11","","0","932","1","","0","510","1896","","","","27","","4","","","","140","","1","16","105","19","","476","12","","","537","47","","","13","","","","","40","","","","","1000","29","553","12","","","","","874","43","10","33","268","759","46","20","513","8954"
"2015_04","0","","","7","","0","835","0","","0","399","2128","","","","23","","2","","","","130","","5","15","71","37","","430","21","","","459","33","","","15","","","","","35","","","","","929","91","606","14","","","","","650","30","15","25","253","731","53","21","596","8659"
"2015_05","7","","","6","","0","1442","0","","0","348","1702","","","","67","","4","","","","148","","0","10","61","36","","357","47","","","299","29","","","16","","","","","33","","","","","1408","35","369","7","","","","","536","31","12","55","248","829","125","17","1070","9354"
"2015_06","5","","","9","","0","920","0","","0","1120","2064","","","","109","","6","","","","129","","2","11","40","34","","558","21","","","810","40","","","177","","","","","42","","","","","1091","11","445","2","","","","","506","20","13","40","189","762","100","9","901","10186"
"2015_07","5","","","6","","0","834","0","","0","494","1675","","","","41","","3","","","","130","","1","11","31","18","","439","20","","","362","24","","","20","","","","","28","","","","","1180","5","393","9","","","","","462","24","9","39","177","751","51","12","650","7904"
"2015_08","5","","","9","","0","913","0","","0","565","1917","","","","34","","4","","","","126","","1","8","63","18","","448","22","","","379","29","","","76","","","","","44","","","","","1616","2","503","13","","","","","392","8","16","17","198","768","43","16","769","9022"
"2015_09","2","","","2","","72","889","0","","0","469","1591","","","","39","","3","","","","109","","4","3","44","14","","462","25","","","373","28","","","28","","","","","55","","","","","894","94","395","7","","","","","465","7","8","18","174","614","57","14","765","7724"
"2015_10","5","","","5","","49","999","0","","0","696","1993","","","","23","","2","","","","136","","1","13","56","13","","420","13","","","522","19","","","38","","","","","52","","","","","990","42","650","5","","","","","603","62","15","27","169","688","48","9","767","9130"
"2015_11","9","","","12","","13","820","0","","0","455","1608","","","","36","","3","","","","104","","1","10","35","17","","290","15","","","484","25","","","28","","","","","53","","","","","716","33","1010","9","","","","","488","18","13","21","158","617","52","8","673","7834"
"2015_12","4","","","9","","12","545","0","","0","439","1459","","","","6","","4","","","","121","","0","11","40","16","","263","8","","","433","47","","","22","","","","","70","","","","","618","26","388","15","","","","","482","25","5","14","128","517","42","14","510","6293"
"2016_01","10","","","5","","34","735","0","","0","432","1856","","","","17","","2","","","","152","","1","3","45","19","","426","26","","","402","37","","","20","","","","","92","","","","","751","91","367","23","","","","","916","25","10","42","127","598","54","18","520","7856"
"2016_02","9","","","5","","11","908","0","","1","513","2254","","","","26","","2","","","","121","","3","3","49","24","","460","55","","","694","44","","","18","","","","","52","","","","","1361","33","480","7","","","","","699","42","13","19","153","709","75","11","703","9557"
"2016_03","12","","","6","","2","833","0","","0","445","2173","","","","46","","0","","","","106","","1","12","64","23","","483","64","","","610","27","","","11","","","","","41","","","","","816","34","510","2","","","","","722","52","7","21","163","673","68","5","614","8646"
"2016_04","8","","","5","","7","682","0","","1","451","2281","","","","61","","6","","","","155","","2","11","33","34","","398","57","","","393","23","","","26","","","","","73","","","","","866","84","458","8","","","","","514","12","10","34","172","702","102","14","633","8316"
"2016_05","3","","","11","","5","830","0","","0","439","2129","","","","67","","3","","","","130","","1","9","29","20","","413","48","","","400","19","","2","7","","","","","50","","","","","1403","30","462","4","","","","","492","20","15","32","143","658","83","17","671","8645"
"2016_06","5","","","9","","6","993","0","","0","582","2433","","","","67","","3","","","","124","","0","5","34","28","","431","31","","","540","25","","18","45","","","","","33","","","","","1090","30","537","5","","","","","372","10","4","21","116","690","54","20","754","9115"
"2016_07","1","","","8","","40","601","0","","1","537","2154","","","","122","","0","","","","102","","0","3","45","23","","323","33","","","333","15","","16","31","","","","","31","","","","","1255","3","397","4","","","","","290","14","6","12","126","599","61","7","481","7674"
"2016_08","6","","","8","","26","752","0","","0","659","2221","","","","20","","1","","","","117","","0","9","36","14","","410","23","","","341","19","","21","39","","","","","26","","","","","1304","4","370","3","","","","","386","17","9","16","117","702","41","14","602","8333"
"2016_09","3","","","3","","5","709","0","","0","556","1950","","","","58","","3","","","","97","","0","4","28","16","","411","22","","","573","15","","13","10","","","","","30","","","","","800","146","483","4","","","","","322","22","10","9","106","589","53","12","493","7555"
"2016_10","8","","","7","","4","1084","0","","0","721","2372","","","","69","","1","","","","112","","0","7","29","24","","541","24","","","300","15","","10","25","","","","","59","","","","","936","34","999","7","","","","","341","29","9","14","154","720","51","12","915","9633"
