"|","Backing Unsafely","Bike Lane","Bus Lane","Brake Lights (Defect.or Improper)","Brake Lights (Defect.or  Improper)","Bus Lane, Driving in","Cell Phone","Commercial Veh on Pkwy","Cruising For Passengers","Defective Brakes","Disobey Steady Red Signal","Disobey Traffic Control Device","Driving Too Slow","Equipment","Disobey Sign","Equipment (Other)","Excessive Noise","Fail to Keep Right","Fail to yield Right of Way to Pedestrian","Failure to Signal","Failure to yield Right of Way to Vehicle","Fail to Signal","Fail to Stop on Signal","Following Too Closely","Headlights (Defect. or Improper)","Improper Lights","Improper Passing","Improper Taxi Pickup","Improper Turn","Improper/Missing Plates","Lamps and Other Equipment on Bicycle","Motorcycle (Other)","Not Giving R of W to Pedes.","Not Giving R of W to Veh.","Obstructed Plate","OBSTRUCTED PLATE","One Way Street","Overheight","Overlength","Overweight","Overwidth","Pavement Markings","Red Light","School Bus","Scooter In NYC","Seat Belt","Safety Belt","School Bus, Passing Stopped","Speeding","Spillback","TBTA Rule","Tints","TLC (Other)","Truck Route","Tinted Windows","Truck Routes","U-Turn","Uninspected","Uninsured","Unlicensed Operator","Unregistered","Unsafe Lane Change","Other Movers","TOTAL Movers"
"2011_08","17","","","","227","0","1290","1","","1","","","","","803","25","","1","","","","80","309","5","184","6","18","","317","28","","","26","9","","","60","","","","","164","","","","","1227","1","70","34","","","","","398","123","19","50","594","551","139","8","603","7388"
"2011_09","11","","","","245","0","1249","0","","14","","","","","1111","25","","0","","","","100","392","5","250","17","15","","298","18","","","26","12","","","90","","","","","164","","","","","1580","6","76","60","","","","","611","68","15","95","799","566","168","10","824","8920"
"2011_10","15","","","","413","0","1363","0","","4","","","","","1213","45","","3","","","","191","373","3","323","19","29","","364","30","","","33","27","","","81","","","","","222","","","","","1050","7","61","45","","","","","756","69","17","99","746","574","166","12","524","8877"
"2011_11","13","","","","344","0","1447","0","","5","","","","","1164","38","","6","","","","189","345","7","387","11","20","","418","28","","","17","12","","","44","","","","","235","","","","","993","14","56","31","","","","","722","76","17","95","760","600","175","12","707","8988"
"2011_12","8","","","","374","0","1267","0","","2","","","","","1188","23","","3","","","","132","274","9","387","22","21","","313","30","","","18","18","","","73","","","","","277","","","","","908","15","34","25","","","","","552","75","20","92","640","486","144","9","289","7728"
"2012_01","28","","","","497","0","1496","4","","7","","","","","1626","43","","0","","","","180","452","5","521","31","45","","439","41","","","33","18","","","81","","","","","268","","","","","1108","8","110","37","","","","","1047","96","44","234","871","777","186","15","783","11131"
"2012_02","11","","","","444","1","1358","0","","9","","","","","1607","36","","1","","","","186","408","10","393","14","67","","340","52","","","44","10","","","114","","","","","315","","","","","890","121","96","14","","","","","1067","73","40","132","856","742","194","17","1071","10733"
"2012_03","16","","","","680","0","1983","0","","2","","","","","1574","63","","3","","","","244","412","8","509","227","91","","396","50","","","29","24","","","54","","","","","297","","","","","1238","17","137","24","","","","","1180","94","45","94","825","882","210","10","764","12182"
"2012_04","12","","","","569","0","2265","1","","1","","","","","1380","40","","1","","","","204","348","8","377","61","53","","383","45","","","19","23","","","46","","","","","251","","","","","1147","83","87","28","","","","","1093","56","29","86","772","752","195","23","891","11329"
"2012_05","17","","","","433","0","1843","0","","0","","","","","1286","76","","1","","","","185","388","17","337","60","88","","451","59","","","39","47","","","49","","","","","279","","","","","1739","22","110","32","","","","","882","52","31","113","749","811","248","26","884","11354"
"2012_06","17","","","","433","0","1843","0","","0","","","","","1286","76","","1","","","","185","388","17","337","60","88","","451","59","","","39","47","","","49","","","","","279","","","","","1739","22","110","32","","","","","882","52","31","113","749","811","248","26","884","11354"
"2012_07","19","","","","503","0","1409","0","","7","","","","","1094","27","","3","","","","202","510","5","366","84","23","","315","29","","","25","33","","","77","","","","","251","","","","","1283","5","90","16","","","","","766","65","19","62","696","697","175","16","597","9469"
"2012_08","17","","","","514","0","1443","0","","7","","","","","944","35","","3","","","","253","406","3","462","55","32","","310","27","","","19","17","","","79","","","","","285","","","","","1121","6","87","29","","","","","671","55","21","73","685","692","185","13","764","9313"
"2012_09","31","","","","368","0","1422","0","","10","","","","","1134","20","","3","","","","243","625","7","359","12","53","","304","28","","","31","21","","","103","","","","","329","","","","","1291","5","103","26","","","","","959","40","22","75","750","631","190","10","839","10044"
"2012_10","29","","","","494","0","1547","1","","15","","","","","1304","36","","1","","","","246","512","7","489","18","55","","428","16","","","36","35","","","78","","","","","286","","","","","1090","9","133","36","","","","","1231","44","26","88","805","699","210","21","743","10768"
