"|","Backing Unsafely","Bike Lane","Bus Lane","Brake Lights (Defect.or Improper)","Brake Lights (Defect.or  Improper)","Bus Lane, Driving in","Cell Phone","Commercial Veh on Pkwy","Cruising For Passengers","Defective Brakes","Disobey Steady Red Signal","Disobey Traffic Control Device","Driving Too Slow","Equipment","Disobey Sign","Equipment (Other)","Excessive Noise","Fail to Keep Right","Fail to yield Right of Way to Pedestrian","Failure to Signal","Failure to yield Right of Way to Vehicle","Fail to Signal","Fail to Stop on Signal","Following Too Closely","Headlights (Defect. or Improper)","Improper Lights","Improper Passing","Improper Taxi Pickup","Improper Turn","Improper/Missing Plates","Lamps and Other Equipment on Bicycle","Motorcycle (Other)","Not Giving R of W to Pedes.","Not Giving R of W to Veh.","Obstructed Plate","OBSTRUCTED PLATE","One Way Street","Overheight","Overlength","Overweight","Overwidth","Pavement Markings","Red Light","School Bus","Scooter In NYC","Seat Belt","Safety Belt","School Bus, Passing Stopped","Speeding","Spillback","TBTA Rule","Tints","TLC (Other)","Truck Route","Tinted Windows","Truck Routes","U-Turn","Uninspected","Uninsured","Unlicensed Operator","Unregistered","Unsafe Lane Change","Other Movers","TOTAL Movers"
"2011_08","6","","","","369","0","1667","11","","10","","","","","1118","31","","0","","","","94","235","2","281","45","22","","146","19","","","50","20","","","12","","","","","201","","","","","1656","4","35","29","","","","","540","40","27","33","602","475","130","80","170","8160"
"2011_09","15","","","","413","1","2391","15","","2","","","","","1022","20","","3","","","","104","321","8","289","53","30","","216","21","","","106","19","","","6","","","","","244","","","","","2644","13","91","21","","","","","644","65","22","22","701","542","145","54","113","10376"
"2011_10","13","","","","437","0","2705","13","","0","","","","","1116","12","","1","","","","138","345","7","341","23","30","","264","30","","","105","23","","","15","","","","","198","","","","","1894","13","69","27","","","","","813","58","36","39","753","604","158","39","133","10452"
"2011_11","16","","","","373","1","2294","28","","9","","","","","1082","19","","8","","","","96","361","4","385","54","39","","237","25","","","107","28","","","25","","","","","261","","","","","1609","8","162","87","","","","","1233","91","15","34","751","588","113","38","156","10337"
"2011_12","18","","","","411","0","1968","10","","1","","","","","1104","11","","1","","","","95","414","14","408","79","36","","200","29","","","100","19","","","41","","","","","201","","","","","1686","9","141","18","","","","","967","47","41","38","769","554","120","31","202","9783"
"2012_01","19","","","","445","0","2225","0","","1","","","","","1287","13","","3","","","","147","573","8","444","112","53","","739","39","","","143","33","","","63","","","","","246","","","","","1748","19","104","24","","","","","1450","122","46","98","795","699","156","32","476","12362"
"2012_02","24","","","","423","0","2385","0","","8","","","","","1637","17","","1","","","","188","565","1","310","63","26","","395","42","","","162","20","","","44","","","","","261","","","","","2285","104","110","49","","","","","1700","351","57","49","862","678","149","40","613","13619"
"2012_03","30","","","","345","0","3305","0","","6","","","","","1600","18","","1","","","","128","504","11","246","85","110","","367","22","","","197","19","","","49","","","","","276","","","","","2678","27","264","51","","","","","1733","133","40","51","913","757","141","36","722","14865"
"2012_04","17","","","","343","0","2809","1","","6","","","","","1385","19","","1","","","","142","481","7","206","53","108","","340","33","","","183","34","","","31","","","","","215","","","","","2508","242","155","41","","","","","1416","78","55","50","818","724","119","39","709","13368"
"2012_05","10","","","","317","0","2307","0","","0","","","","","1366","21","","3","","","","153","479","6","155","64","82","","305","38","","","410","34","","","35","","","","","227","","","","","2423","25","122","46","","","","","1963","63","92","38","859","759","182","69","415","13068"
