"|","Backing Unsafely","Bike Lane","Bus Lane","Brake Lights (Defect.or Improper)","Brake Lights (Defect.or  Improper)","Bus Lane, Driving in","Cell Phone","Commercial Veh on Pkwy","Cruising For Passengers","Defective Brakes","Disobey Steady Red Signal","Disobey Traffic Control Device","Driving Too Slow","Equipment","Disobey Sign","Equipment (Other)","Excessive Noise","Fail to Keep Right","Fail to yield Right of Way to Pedestrian","Failure to Signal","Failure to yield Right of Way to Vehicle","Fail to Signal","Fail to Stop on Signal","Following Too Closely","Headlights (Defect. or Improper)","Improper Lights","Improper Passing","Improper Taxi Pickup","Improper Turn","Improper/Missing Plates","Lamps and Other Equipment on Bicycle","Motorcycle (Other)","Not Giving R of W to Pedes.","Not Giving R of W to Veh.","Obstructed Plate","OBSTRUCTED PLATE","One Way Street","Overheight","Overlength","Overweight","Overwidth","Pavement Markings","Red Light","School Bus","Scooter In NYC","Seat Belt","Safety Belt","School Bus, Passing Stopped","Speeding","Spillback","TBTA Rule","Tints","TLC (Other)","Truck Route","Tinted Windows","Truck Routes","U-Turn","Uninspected","Uninsured","Unlicensed Operator","Unregistered","Unsafe Lane Change","Other Movers","TOTAL Movers"
"2011_08","2","","","","165","0","210","4","","0","","","","","101","62","","3","","","","39","38","4","82","3","10","","22","16","","","0","7","","","4","","","","","49","","","","","307","0","170","1","","","","","234","1","10","26","203","141","32","6","107","2059"
"2011_09","1","","","","227","1","251","1","","0","","","","","111","39","","4","","","","14","70","2","147","5","11","","27","17","","","1","3","","","3","","","","","68","","","","","491","7","156","0","","","","","292","0","10","28","204","157","37","3","191","2579"
"2011_10","1","","","","274","0","298","2","","7","","","","","83","39","","3","","","","39","88","1","166","5","19","","25","29","","","2","6","","","4","","","","","107","","","","","365","6","225","2","","","","","325","0","15","37","235","171","45","4","189","2817"
"2011_11","1","","","","313","1","293","3","","0","","","","","117","40","","4","","","","46","73","4","186","2","15","","21","36","","","0","5","","","8","","","","","50","","","","","368","2","364","1","","","","","392","0","10","46","239","228","37","4","201","3110"
"2011_12","3","","","","258","0","382","10","","1","","","","","178","44","","3","","","","41","80","6","198","8","15","","30","40","","","6","4","","","5","","","","","54","","","","","385","5","307","0","","","","","422","2","23","36","260","234","66","3","222","3331"
"2012_01","3","","","","227","0","478","5","","3","","","","","210","62","","3","","","","73","128","2","259","12","13","","37","32","","","12","10","","","11","","","","","108","","","","","419","11","349","2","","","","","384","2","11","93","287","273","57","10","249","3835"
"2012_02","2","","","","218","0","496","3","","0","","","","","229","88","","1","","","","139","163","10","215","33","8","","58","28","","","7","22","","","17","","","","","89","","","","","510","26","398","5","","","","","385","2","26","54","291","369","80","10","241","4223"
"2012_03","6","","","","229","0","538","10","","0","","","","","259","75","","7","","","","100","119","10","136","0","14","","60","51","","","6","32","","","12","","","","","104","","","","","569","31","288","6","","","","","400","0","24","98","302","389","61","22","219","4177"
"2012_04","6","","","","246","0","596","7","","0","","","","","240","67","","9","","","","118","106","5","156","2","16","","65","43","","","9","38","","","10","","","","","154","","","","","579","46","266","3","","","","","331","5","20","39","294","389","108","13","260","4246"
"2012_05","5","","","","185","0","530","6","","0","","","","","244","61","","4","","","","89","81","7","136","3","11","","90","46","","","7","26","","","3","","","","","161","","","","","679","13","349","2","","","","","178","0","17","36","275","384","68","8","218","3922"
"2012_06","5","","","","185","0","530","6","","0","","","","","244","61","","4","","","","89","81","7","136","3","11","","90","46","","","7","26","","","3","","","","","161","","","","","679","13","349","2","","","","","178","0","17","36","275","384","68","8","218","3922"
"2012_07","7","","","","198","0","338","5","","1","","","","","279","45","","1","","","","101","65","7","156","2","10","","25","36","","","12","29","","","7","","","","","162","","","","","427","1","296","0","","","","","156","3","25","30","312","333","79","7","226","3381"
"2012_08","5","","","","265","2","409","7","","3","","","","","198","40","","0","","","","70","88","8","202","5","15","","23","49","","","8","23","","","13","","","","","144","","","","","417","1","285","0","","","","","166","1","22","38","281","363","70","17","215","3453"
"2012_09","4","","","","296","56","463","7","","0","","","","","266","48","","3","","","","91","106","6","241","6","37","","28","45","","","14","18","","","10","","","","","295","","","","","545","4","431","2","","","","","204","0","26","52","285","392","73","8","290","4352"
"2012_10","2","","","","226","97","455","9","","0","","","","","209","32","","3","","","","95","110","9","188","2","54","","45","47","","","9","26","","","14","","","","","199","","","","","433","7","316","3","","","","","288","4","31","30","299","313","61","9","267","3892"
"2012_11","2","","","","125","1","178","5","","1","","","","","115","9","","0","","","","57","71","1","132","9","33","","40","18","","","6","12","","","6","","","","","98","","","","","144","1","66","0","","","","","108","0","10","18","170","207","32","3","88","1766"
"2012_12","2","","","","151","13","230","4","","4","","","","","133","23","","0","","","","66","101","6","156","5","30","","39","17","","","10","8","","","4","","","","","139","","","","","192","3","187","1","","","","","162","1","24","29","204","251","50","7","183","2435"
"2013_01","1","","","","182","42","405","20","","2","","","","","239","47","","5","","","","65","108","10","209","6","27","","44","29","","","10","20","","","15","","","","","220","","","","","380","2","204","1","","","","","229","0","29","108","297","322","74","11","237","3600"
"2013_02","5","","","","265","44","556","1","","1","","","","","379","32","","3","","","","113","133","17","214","4","44","","39","27","","","17","13","","","24","","","","","269","","","","","392","11","315","0","","","","","286","0","22","129","291","366","92","3","294","4401"
"2013_03","3","","","","241","55","466","15","","0","","","","","449","65","","4","","","","93","147","14","194","1","44","","57","41","","","18","16","","","11","","","","","252","","","","","480","4","341","0","","","","","328","0","23","118","307","403","73","7","283","4553"
"2013_04","4","","","","258","67","636","4","","12","","","","","579","94","","3","","","","150","132","18","153","2","39","","65","45","","","25","16","","","5","","","","","323","","","","","692","4","444","2","","","","","413","4","28","103","366","509","107","21","318","5641"
"2013_05","2","","","","233","39","608","9","","10","","","","","494","85","","0","","","","165","170","7","155","3","24","","47","23","","","14","11","","","6","","","","","270","","","","","986","7","186","3","","","","","316","3","23","71","365","499","76","27","383","5320"
"2013_06","2","","","","184","37","476","2","","0","","","","","380","86","","0","","","","146","98","5","125","2","53","","36","34","","","10","13","","","12","","","","","165","","","","","546","0","275","1","","","","","180","5","15","73","341","393","106","13","259","4073"
"2013_07","4","","","","217","25","599","0","","10","","","","","421","82","","0","","","","156","120","4","169","3","25","","16","35","","","9","9","","","8","","","","","143","","","","","564","1","239","0","","","","","224","0","26","61","370","446","112","7","278","4383"
"2013_08","5","","","","223","19","473","0","","8","","","","","388","71","","2","","","","233","148","10","203","3","27","","32","41","","","17","11","","","12","","","","","234","","","","","511","1","208","4","","","","","216","5","20","61","364","406","101","19","225","4301"
"2013_09","0","","","","197","17","424","0","","0","","","","","439","35","","0","","","","196","176","8","228","13","28","","51","40","","","8","15","","","9","","","","","268","","","","","441","4","200","5","","","","","144","7","32","37","280","344","57","12","248","3963"
"2013_10","6","","","","263","12","374","2","","5","","","","","608","76","","0","","","","248","205","3","237","6","22","","48","38","","","19","16","","","8","","","","","360","","","","","407","7","320","11","","","","","197","10","26","40","365","414","115","7","225","4700"
"2013_11","5","","","","231","15","289","1","","9","","","","","685","62","","15","","","","295","203","3","213","6","9","","24","37","","","18","13","","","4","","","","","236","","","","","302","1","417","1","","","","","172","5","30","46","333","341","72","11","168","4272"
