"|","Backing Unsafely","Bike Lane","Bus Lane","Brake Lights (Defect.or Improper)","Brake Lights (Defect.or  Improper)","Bus Lane, Driving in","Cell Phone","Commercial Veh on Pkwy","Cruising For Passengers","Defective Brakes","Disobey Steady Red Signal","Disobey Traffic Control Device","Driving Too Slow","Equipment","Disobey Sign","Equipment (Other)","Excessive Noise","Fail to Keep Right","Fail to yield Right of Way to Pedestrian","Failure to Signal","Failure to yield Right of Way to Vehicle","Fail to Signal","Fail to Stop on Signal","Following Too Closely","Headlights (Defect. or Improper)","Improper Lights","Improper Passing","Improper Taxi Pickup","Improper Turn","Improper/Missing Plates","Lamps and Other Equipment on Bicycle","Motorcycle (Other)","Not Giving R of W to Pedes.","Not Giving R of W to Veh.","Obstructed Plate","OBSTRUCTED PLATE","One Way Street","Overheight","Overlength","Overweight","Overwidth","Pavement Markings","Red Light","School Bus","Scooter In NYC","Seat Belt","Safety Belt","School Bus, Passing Stopped","Speeding","Spillback","TBTA Rule","Tints","TLC (Other)","Truck Route","Tinted Windows","Truck Routes","U-Turn","Uninspected","Uninsured","Unlicensed Operator","Unregistered","Unsafe Lane Change","Other Movers","TOTAL Movers"
"2011_08","16","","","","109","0","1039","0","","0","","","","","800","28","","13","","","","78","241","4","102","4","10","","406","20","","","17","14","","","11","","","","","123","","","","","1360","4","237","37","","","","","871","39","57","40","559","642","102","40","193","7216"
"2011_09","2","","","","146","2","889","6","","3","","","","","967","30","","3","","","","134","236","0","113","3","6","","513","21","","","26","16","","","6","","","","","145","","","","","1372","8","214","21","","","","","823","33","13","31","527","584","113","32","162","7200"
"2011_10","8","","","","159","1","888","6","","1","","","","","937","11","","4","","","","187","240","2","137","7","7","","536","12","","","22","12","","","10","","","","","189","","","","","1003","13","200","19","","","","","965","24","24","19","424","522","111","21","138","6859"
"2011_11","5","","","","108","0","597","2","","3","","","","","836","33","","6","","","","176","291","6","118","6","21","","490","19","","","15","23","","","12","","","","","155","","","","","692","11","136","18","","","","","991","20","55","36","331","411","89","21","119","5852"
"2011_12","15","","","","134","0","769","1","","7","","","","","886","30","","9","","","","50","313","3","182","9","8","","688","12","","","30","28","","","17","","","","","156","","","","","785","10","214","15","","","","","1288","41","48","33","492","467","108","25","131","7004"
"2012_01","10","","","","284","0","994","3","","0","","","","","1055","66","","13","","","","78","279","8","504","3","13","","707","15","","","16","7","","","11","","","","","139","","","","","892","28","314","10","","","","","1462","26","42","97","572","628","148","14","259","8697"
"2012_02","18","","","","344","0","1210","1","","21","","","","","1099","67","","8","","","","65","328","15","532","5","7","","698","32","","","75","43","","","15","","","","","192","","","","","1254","73","360","23","","","","","1463","17","67","54","532","692","147","27","285","9769"
"2012_03","18","","","","510","1","1283","7","","29","","","","","1097","65","","4","","","","59","413","7","441","18","10","","650","29","","","46","27","","","27","","","","","212","","","","","1384","19","355","36","","","","","1387","14","49","45","619","734","162","25","242","10024"
"2012_04","14","","","","412","0","1422","3","","25","","","","","979","48","","11","","","","60","242","10","342","4","16","","586","20","","","18","15","","","13","","","","","169","","","","","1142","71","223","50","","","","","1342","16","38","31","516","633","129","28","274","8902"
"2012_05","18","","","","482","4","1326","7","","39","","","","","1050","51","","3","","","","69","286","6","313","4","14","","660","16","","","34","24","","","18","","","","","113","","","","","1478","31","254","45","","","","","1484","8","48","39","538","724","125","21","237","9569"
"2012_06","18","","","","482","4","1326","7","","39","","","","","1050","51","","3","","","","69","286","6","313","4","14","","660","16","","","34","24","","","18","","","","","113","","","","","1478","31","254","45","","","","","1484","8","48","39","538","724","125","21","237","9569"
"2012_07","15","","","","317","4","935","5","","6","","","","","613","29","","5","","","","69","214","3","402","2","15","","346","18","","","16","17","","","22","","","","","108","","","","","964","3","419","21","","","","","976","27","42","32","523","549","144","12","233","7106"
"2012_08","18","","","","400","0","1184","1","","0","","","","","770","67","","3","","","","88","214","3","470","5","11","","543","18","","","21","18","","","19","","","","","101","","","","","1098","0","325","22","","","","","1312","13","80","29","708","680","136","26","325","8708"
"2012_09","19","","","","418","2","975","7","","1","","","","","771","48","","8","","","","80","251","7","465","22","11","","472","25","","","15","13","","","21","","","","","123","","","","","897","9","689","6","","","","","1086","29","42","34","611","586","139","25","310","8217"
"2012_10","12","","","","482","0","1120","13","","6","","","","","964","48","","0","","","","125","266","4","508","19","7","","567","16","","","40","29","","","12","","","","","205","","","","","1245","11","267","14","","","","","1525","16","38","55","621","635","146","23","430","9469"
"2012_11","12","","","","276","1","743","3","","9","","","","","632","36","","0","","","","103","258","4","356","7","8","","510","10","","","29","21","","","23","","","","","159","","","","","545","7","178","14","","","","","1227","4","43","39","424","470","125","14","654","6944"
"2012_12","16","","","","302","1","707","1","","15","","","","","914","41","","3","","","","94","235","4","420","13","3","","479","33","","","29","22","","","20","","","","","126","","","","","484","1","323","12","","","","","1046","18","79","57","508","526","152","15","766","7465"
"2013_01","24","","","","446","2","868","2","","3","","","","","1019","65","","5","","","","131","294","9","563","30","7","","742","39","","","43","25","","","14","","","","","168","","","","","854","10","263","7","","","","","1374","13","89","129","674","651","177","28","506","9274"
"2013_02","18","","","","465","1","907","2","","0","","","","","1163","69","","2","","","","126","306","10","565","23","6","","695","30","","","51","39","","","16","","","","","174","","","","","981","9","320","8","","","","","1380","5","102","65","589","684","146","36","399","9392"
"2013_03","15","","","","457","0","798","3","","10","","","","","1201","68","","4","","","","126","375","6","329","12","3","","658","36","","","25","16","","","12","","","","","145","","","","","836","15","422","9","","","","","1320","11","78","56","692","650","172","22","483","9065"
"2013_04","16","","","","307","0","931","0","","3","","","","","1357","69","","8","","","","150","378","5","239","4","8","","714","18","","","57","18","","","13","","","","","131","","","","","990","200","545","43","","","","","1359","2","66","78","612","629","184","17","506","9657"
"2013_05","26","","","","283","1","803","1","","6","","","","","1027","64","","7","","","","151","313","12","211","16","21","","707","30","","","42","30","","","10","","","","","141","","","","","948","42","301","29","","","","","1478","17","87","40","641","674","169","19","368","8715"
"2013_06","31","","","","258","6","764","2","","5","","","","","1165","53","","3","","","","127","311","5","208","11","11","","580","22","","","118","35","","","21","","","","","138","","","","","922","7","443","31","","","","","1258","26","73","48","531","581","151","20","335","8300"
"2013_07","21","","","","228","9","644","3","","0","","","","","850","59","","3","","","","121","256","11","160","2","15","","527","27","","","26","19","","","17","","","","","131","","","","","830","2","531","26","","","","","1341","12","68","42","467","537","142","25","357","7509"
"2013_08","33","","","","225","7","791","2","","3","","","","","1128","66","","7","","","","162","257","3","222","11","4","","566","26","","","82","17","","","25","","","","","104","","","","","857","3","263","39","","","","","1420","106","73","49","588","679","174","20","434","8446"
"2013_09","33","","","","253","19","619","4","","1","","","","","1097","82","","4","","","","175","333","8","231","5","14","","621","24","","","65","29","","","22","","","","","160","","","","","725","34","615","49","","","","","1312","65","81","48","600","692","144","26","372","8562"
"2013_10","39","","","","262","35","751","1","","4","","","","","1471","62","","7","","","","227","374","5","272","8","8","","646","27","","","75","34","","","26","","","","","301","","","","","868","33","627","17","","","","","1514","40","94","33","628","642","144","29","415","9719"
"2013_11","22","","","","320","16","596","0","","12","","","","","1092","51","","3","","","","148","323","1","333","14","19","","663","24","","","190","23","","","14","","","","","252","","","","","529","18","354","8","","","","","973","39","93","41","605","510","142","24","320","7772"
"2013_12","23","","","","300","5","503","1","","5","","","","","926","48","","2","","","","174","232","5","396","13","19","","618","31","","","54","29","","","33","","","","","282","","","","","464","9","323","9","","","","","1203","30","105","36","594","543","142","30","346","7533"
