"|","Backing Unsafely","Bike Lane","Bus Lane","Brake Lights (Defect.or Improper)","Brake Lights (Defect.or  Improper)","Bus Lane, Driving in","Cell Phone","Commercial Veh on Pkwy","Cruising For Passengers","Defective Brakes","Disobey Steady Red Signal","Disobey Traffic Control Device","Driving Too Slow","Equipment","Disobey Sign","Equipment (Other)","Excessive Noise","Fail to Keep Right","Fail to yield Right of Way to Pedestrian","Failure to Signal","Failure to yield Right of Way to Vehicle","Fail to Signal","Fail to Stop on Signal","Following Too Closely","Headlights (Defect. or Improper)","Improper Lights","Improper Passing","Improper Taxi Pickup","Improper Turn","Improper/Missing Plates","Lamps and Other Equipment on Bicycle","Motorcycle (Other)","Not Giving R of W to Pedes.","Not Giving R of W to Veh.","Obstructed Plate","OBSTRUCTED PLATE","One Way Street","Overheight","Overlength","Overweight","Overwidth","Pavement Markings","Red Light","School Bus","Scooter In NYC","Seat Belt","Safety Belt","School Bus, Passing Stopped","Speeding","Spillback","TBTA Rule","Tints","TLC (Other)","Truck Route","Tinted Windows","Truck Routes","U-Turn","Uninspected","Uninsured","Unlicensed Operator","Unregistered","Unsafe Lane Change","Other Movers","TOTAL Movers"
"2011_08","7","","","","422","0","747","0","","0","","","","","803","10","","0","","","","22","130","1","206","81","27","","406","2","","","11","4","","","12","","","","","158","","","","","1212","0","39","12","","","","","860","109","24","96","721","499","71","4","204","6900"
"2011_09","10","","","","408","0","741","0","","0","","","","","808","11","","1","","","","22","185","5","206","79","22","","532","14","","","35","9","","","13","","","","","146","","","","","1677","6","82","14","","","","","1188","85","12","81","823","553","80","6","181","8035"
"2011_10","7","","","","350","0","920","0","","0","","","","","832","8","","2","","","","41","241","7","155","122","19","","475","12","","","32","5","","","15","","","","","178","","","","","1018","17","78","10","","","","","1303","82","23","69","786","567","69","13","158","7614"
"2011_11","7","","","","337","0","1093","0","","0","","","","","836","13","","3","","","","48","223","2","172","120","37","","659","5","","","39","5","","","15","","","","","140","","","","","1449","9","92","9","","","","","1242","31","18","86","735","608","83","10","140","8266"
"2011_12","6","","","","340","0","874","0","","1","","","","","943","12","","2","","","","57","205","3","156","116","35","","535","16","","","69","11","","","8","","","","","190","","","","","935","8","86","11","","","","","1305","69","29","79","748","565","83","9","144","7650"
"2012_01","3","","","","366","0","988","0","","0","","","","","902","13","","1","","","","55","302","4","198","135","31","","674","11","","","73","12","","","19","","","","","193","","","","","1330","7","135","7","","","","","2212","61","47","133","705","621","84","9","307","9638"
"2012_02","12","","","","342","0","1135","1","","1","","","","","1071","21","","5","","","","69","279","4","188","139","41","","662","9","","","54","22","","","13","","","","","204","","","","","1427","64","135","11","","","","","2880","92","37","96","758","705","92","22","559","11150"
"2012_03","5","","","","290","0","844","0","","0","","","","","1040","11","","2","","","","47","176","3","175","94","26","","650","10","","","53","16","","","14","","","","","149","","","","","1145","10","55","9","","","","","2452","19","41","54","690","681","80","3","412","9256"
"2012_04","4","","","","346","0","1002","0","","2","","","","","851","10","","2","","","","81","237","4","111","98","26","","780","15","","","46","13","","","14","","","","","176","","","","","1193","49","100","19","","","","","1914","34","27","69","614","690","102","10","320","8959"
"2012_05","16","","","","362","0","1107","0","","2","","","","","1180","15","","1","","","","76","295","6","102","106","28","","820","21","","","96","30","","","17","","","","","145","","","","","1684","12","97","3","","","","","1605","77","26","86","679","783","81","13","375","9946"
