Transportation Bureau,,
     May ,,
"","",""
Backing Unsafely,16,70
Bike Lane,2,19
Bus Lane,42,1156
Cell Phone,315,1361
Commercial Veh on Pkwy,238,1242
Cruising For Passengers,6,37
Disobey Traffic Control Device,2884,18177
Driving Too Slow,4,16
Equipment,970,4504
Equipment (Other),3,8
Excessive Noise,0,0
Fail to Keep Right,6,9
Fail to yield Right of Way to Pedestrian,520,1553
Failure to Signal,364,1780
Failure to yield Right of Way to Vehicle,0,7
Following Too Closely,47,319
Improper Passing,65,284
Improper Taxi Pickup,143,862
Improper Turn,1377,6975
Improper/Missing Plates,33,122
Lamps and Other Equipment on Bicycle,1,1
Motorcycle (Other),185,364
Not Giving R of W to Veh.,35,209
Obstructed Plate,200,987
One Way Street,168,1112
Overheight,10,48
Overlength,5,25
Overweight,12,58
Overwidth,0,0
Pavement Markings,8,77
Red Light,358,1499
School Bus,249,334
Scooter In NYC,0,0
Seat Belt,1516,3979
Speeding,6441,36081
Spillback,581,3945
TBTA Rule,0,0
Tints,1170,9132
TLC (Other),0,0
Truck Route,40,204
Uninspected,123,505
Uninsured,169,866
Unlicensed Operator,756,3592
Unregistered,244,1085
Unsafe Lane Change,172,991
Other Movers,1752,8012
TCDTOTAL Movers ,21230,111607
