"Moving Violations",,
"Queens South",,
"  August ",,
pbqssum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",11,109
"Brake Lights (Defect.or Improper)",463,2920
"Bus Lane, Driving in",0,0
"Cell Phone",751,6385
"Commercial Veh on Pkwy",0,4
"Defective Brakes",0,21
"Disobey Sign",1301,10074
"Equipment (Other)",51,353
"Fail to Keep Right",3,8
"Fail to Signal",86,715
"Fail to Stop on Signal",451,2476
"Following Too Closely",2,25
"Headlights (Defect. or Improper)",280,1988
"Improper Lights",32,359
"Improper Passing",30,208
"Improper Turn",537,5882
"Improper/Missing Plates",13,179
"Not Giving R of W to Pedes.",116,1559
"Not Giving R of W to Veh.",15,209
"One Way Street",98,166
"Pavement Markings",226,1540
"Safety Belt",1142,9622
"School Bus, Passing Stopped",0,104
Speeding,231,2221
Spillback,14,106
"Tinted Windows",686,7058
"Truck Routes",37,293
U-Turn,94,765
Uninspected,49,595
Uninsured,614,5626
"Unlicensed Operator",633,5526
Unregistered,103,820
"Unsafe Lane Change",9,108
"Other Movers",686,3754
"PBQS   TOTAL Movers ",8764,71778
"* All figures are preliminary and subject to change.",,
