66th Precinct,,
  August ,,
066sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,4
Brake Lights (Defect.or Improper),6,53
"Bus Lane, Driving in",0,0
Cell Phone,89,1015
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,93,769
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,38,542
Fail to Stop on Signal,35,213
Following Too Closely,0,0
Headlights (Defect. or Improper),0,12
Improper Lights,0,0
Improper Passing,0,5
Improper Turn,8,65
Improper/Missing Plates,0,10
Not Giving R of W to Pedes.,12,204
Not Giving R of W to Veh.,0,3
One Way Street,1,2
Pavement Markings,0,1
Safety Belt,187,1262
"School Bus, Passing Stopped",0,34
Speeding,25,204
Spillback,0,2
Tinted Windows,36,456
Truck Routes,16,181
U-Turn,0,16
Uninspected,1,39
Uninsured,31,369
Unlicensed Operator,18,334
Unregistered,4,77
Unsafe Lane Change,0,4
Other Movers,52,442
066    TOTAL Movers ,653,6318
