"Moving Violations",,
"Brooklyn South",,
"  August ",,
pbbssum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",30,263
"Brake Lights (Defect.or Improper)",112,1210
"Bus Lane, Driving in",14,272
"Cell Phone",1456,13431
"Commercial Veh on Pkwy",5,42
"Defective Brakes",1,10
"Disobey Sign",1544,12980
"Equipment (Other)",50,298
"Fail to Keep Right",4,13
"Fail to Signal",328,2788
"Fail to Stop on Signal",729,6239
"Following Too Closely",13,79
"Headlights (Defect. or Improper)",129,1065
"Improper Lights",72,644
"Improper Passing",65,637
"Improper Turn",435,5608
"Improper/Missing Plates",40,394
"Not Giving R of W to Pedes.",341,3754
"Not Giving R of W to Veh.",41,521
"One Way Street",79,372
"Pavement Markings",338,3541
"Safety Belt",1396,13089
"School Bus, Passing Stopped",0,193
Speeding,414,3616
Spillback,44,433
"Tinted Windows",1014,9012
"Truck Routes",61,676
U-Turn,104,1069
Uninspected,51,609
Uninsured,579,5826
"Unlicensed Operator",641,5489
Unregistered,109,1226
"Unsafe Lane Change",25,304
"Other Movers",686,5443
"PBBS   TOTAL Movers ",10950,101146
"* All figures are preliminary and subject to change.",,
