"Moving Violations",,
"76th Precinct",,
"  August ",,
076sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,19
"Brake Lights (Defect.or Improper)",3,30
"Bus Lane, Driving in",0,0
"Cell Phone",67,853
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,0
"Disobey Sign",35,252
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",5,89
"Fail to Stop on Signal",17,171
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",0,29
"Improper Lights",0,0
"Improper Passing",0,4
"Improper Turn",8,232
"Improper/Missing Plates",3,14
"Not Giving R of W to Pedes.",19,111
"Not Giving R of W to Veh.",0,8
"One Way Street",6,53
"Pavement Markings",69,1209
"Safety Belt",53,543
"School Bus, Passing Stopped",0,3
Speeding,42,156
Spillback,0,6
"Tinted Windows",56,461
"Truck Routes",0,3
U-Turn,0,5
Uninspected,0,8
Uninsured,10,113
"Unlicensed Operator",23,153
Unregistered,2,36
"Unsafe Lane Change",2,11
"Other Movers",24,161
"076    TOTAL Movers ",445,4737
"* All figures are preliminary and subject to change.",,
