"Moving Violations",,
"122nd Precinct",,
"  August ",,
122sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,8
"Brake Lights (Defect.or Improper)",24,255
"Bus Lane, Driving in",1,69
"Cell Phone",78,748
"Commercial Veh on Pkwy",5,23
"Defective Brakes",0,0
"Disobey Sign",94,1316
"Equipment (Other)",15,149
"Fail to Keep Right",0,9
"Fail to Signal",34,438
"Fail to Stop on Signal",26,307
"Following Too Closely",5,21
"Headlights (Defect. or Improper)",19,158
"Improper Lights",0,0
"Improper Passing",2,11
"Improper Turn",2,36
"Improper/Missing Plates",14,103
"Not Giving R of W to Pedes.",5,66
"Not Giving R of W to Veh.",6,54
"One Way Street",6,38
"Pavement Markings",85,1120
"Safety Belt",107,841
"School Bus, Passing Stopped",0,34
Speeding,187,1531
Spillback,0,5
"Tinted Windows",70,437
"Truck Routes",2,65
U-Turn,8,119
Uninspected,5,65
Uninsured,55,545
"Unlicensed Operator",70,624
Unregistered,14,118
"Unsafe Lane Change",7,51
"Other Movers",149,951
"122    TOTAL Movers ",1095,10315
"* All figures are preliminary and subject to change.",,
