62nd Precinct,,
  August ,,
062sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,10
Brake Lights (Defect.or Improper),2,77
"Bus Lane, Driving in",0,0
Cell Phone,80,678
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,109,1600
Equipment (Other),5,29
Fail to Keep Right,0,2
Fail to Signal,7,189
Fail to Stop on Signal,51,561
Following Too Closely,0,3
Headlights (Defect. or Improper),0,26
Improper Lights,0,33
Improper Passing,6,75
Improper Turn,9,178
Improper/Missing Plates,4,57
Not Giving R of W to Pedes.,31,299
Not Giving R of W to Veh.,1,57
One Way Street,13,123
Pavement Markings,7,130
Safety Belt,88,787
"School Bus, Passing Stopped",0,19
Speeding,52,243
Spillback,0,3
Tinted Windows,53,566
Truck Routes,3,15
U-Turn,1,54
Uninspected,0,6
Uninsured,21,318
Unlicensed Operator,29,382
Unregistered,2,82
Unsafe Lane Change,1,41
Other Movers,49,394
062    TOTAL Movers ,624,7037
